day_of_the_week_started_on,day_of_the_week_numerical,member_casual,duration_band,ride_count,duration_band_percent,avg_rides_per_duration
Monday,1,member,three_or_more_hours,651,0.12418829310726358,12.51923076923077
Monday,1,casual,under_one_hour,224617,95.11422582625818,4319.557692307692
Monday,1,casual,two_to_three_hours,1630,0.6902246405962186,31.346153846153847
Monday,1,casual,three_or_more_hours,708,0.2998030954246152,13.615384615384615
Monday,1,casual,one_to_two_hours,9200,3.8957464377209887,176.92307692307693
Monday,1,member,under_one_hour,520762,99.34338539957727,10014.653846153846
Monday,1,member,one_to_two_hours,2378,0.45364018588183225,45.73076923076923
Monday,1,member,two_to_three_hours,413,0.07878612143364033,7.9423076923076925
Tuesday,2,casual,two_to_three_hours,1081,0.45842574647911216,20.39622641509434
Tuesday,2,casual,three_or_more_hours,587,0.2489323896237177,11.075471698113208
Tuesday,2,member,two_to_three_hours,426,0.07033080241502107,8.037735849056604
Tuesday,2,member,under_one_hour,602543,99.47730675951654,11368.735849056604
Tuesday,2,member,one_to_two_hours,2070,0.3417482652560883,39.056603773584904
Tuesday,2,member,three_or_more_hours,670,0.1106141728123571,12.641509433962264
Tuesday,2,casual,one_to_two_hours,6366,2.699665404334901,120.11320754716981
Tuesday,2,casual,under_one_hour,227773,96.59297645956228,4297.603773584906
Wednesday,3,casual,two_to_three_hours,826,0.3644723314315467,15.884615384615385
Wednesday,3,casual,three_or_more_hours,508,0.22415489632836047,9.76923076923077
Wednesday,3,casual,one_to_two_hours,5251,2.3170026783862614,100.98076923076923
Wednesday,3,casual,under_one_hour,220044,97.09437009385383,4231.615384615385
Wednesday,3,member,under_one_hour,587508,99.51049969681469,11298.23076923077
Wednesday,3,member,three_or_more_hours,625,0.10586079221135572,12.01923076923077
Wednesday,3,member,one_to_two_hours,1903,0.3223249401251359,36.59615384615385
Wednesday,3,member,two_to_three_hours,362,0.06131457084881724,6.961538461538462
Thursday,4,casual,under_one_hour,246260,96.74593290721018,4735.7692307692305
Thursday,4,casual,two_to_three_hours,1220,0.47929033601395443,23.46153846153846
Thursday,4,casual,one_to_two_hours,6422,2.5229528999029633,123.5
Thursday,4,casual,three_or_more_hours,641,0.25182385687290554,12.326923076923077
Thursday,4,member,two_to_three_hours,415,0.06966488671482217,7.980769230769231
Thursday,4,member,under_one_hour,592530,99.46635018104477,11394.807692307691
Thursday,4,member,one_to_two_hours,2133,0.35806073099449565,41.01923076923077
Thursday,4,member,three_or_more_hours,631,0.10592420124591034,12.134615384615385
Friday,5,casual,one_to_two_hours,10416,3.273546687953939,200.30769230769232
Friday,5,casual,three_or_more_hours,1056,0.3318803093778187,20.307692307692307
Friday,5,casual,two_to_three_hours,1737,0.5459053952549916,33.40384615384615
Friday,5,casual,under_one_hour,304978,95.84866760741325,5864.961538461538
Friday,5,member,two_to_three_hours,419,0.07649642712391691,8.057692307692308
Friday,5,member,three_or_more_hours,703,0.12834603405277706,13.51923076923077
Friday,5,member,one_to_two_hours,2701,0.4931189729396171,51.94230769230769
Friday,5,member,under_one_hour,543915,99.30203856588369,10459.903846153846
Saturday,6,casual,three_or_more_hours,1623,0.3798597116998195,31.21153846153846
Saturday,6,casual,under_one_hour,403775,94.50268335896158,7764.903846153846
Saturday,6,casual,two_to_three_hours,3288,0.7695494344232943,63.23076923076923
Saturday,6,casual,one_to_two_hours,18577,4.34790749491531,357.25
Saturday,6,member,under_one_hour,467332,99.0336771973248,8987.153846153846
Saturday,6,member,two_to_three_hours,499,0.1057445347664296,9.596153846153847
Saturday,6,member,one_to_two_hours,3466,0.7344900951912725,66.65384615384616
Saturday,6,member,three_or_more_hours,595,0.1260881727174862,11.442307692307692
Sunday,7,casual,one_to_two_hours,16145,4.84601993036379,310.4807692307692
Sunday,7,casual,two_to_three_hours,3019,0.906171209028695,58.05769230769231
Sunday,7,casual,under_one_hour,312601,93.82909112738625,6011.557692307692
Sunday,7,casual,three_or_more_hours,1395,0.41871773322127503,26.826923076923077
Sunday,7,member,two_to_three_hours,450,0.11332529143487446,8.653846153846153
Sunday,7,member,under_one_hour,392853,98.93373492458831,7554.865384615385
Sunday,7,member,one_to_two_hours,3253,0.8192159400836593,62.55769230769231
Sunday,7,member,three_or_more_hours,531,0.1337238438931519,10.211538461538462
