weekday,day_number,day_occurrences,start_hour,rider_type,ride_count,avg_rides
Monday,1,52,0,casual,3782,72.73076923076923
Monday,1,52,0,member,2651,50.98076923076923
Monday,1,52,1,casual,2276,43.76923076923077
Monday,1,52,1,member,1549,29.78846153846154
Monday,1,52,2,casual,1522,29.26923076923077
Monday,1,52,2,member,954,18.346153846153847
Monday,1,52,3,casual,885,17.01923076923077
Monday,1,52,3,member,730,14.038461538461538
Monday,1,52,4,casual,872,16.76923076923077
Monday,1,52,4,member,1246,23.96153846153846
Monday,1,52,5,casual,1644,31.615384615384617
Monday,1,52,5,member,5832,112.15384615384616
Monday,1,52,6,casual,3889,74.78846153846153
Monday,1,52,6,member,17442,335.4230769230769
Monday,1,52,7,casual,6846,131.65384615384616
Monday,1,52,7,member,34512,663.6923076923077
Monday,1,52,8,casual,9289,178.6346153846154
Monday,1,52,8,member,42948,825.9230769230769
Monday,1,52,9,casual,7906,152.03846153846155
Monday,1,52,9,member,23461,451.1730769230769
Monday,1,52,10,casual,8825,169.71153846153845
Monday,1,52,10,member,16785,322.78846153846155
Monday,1,52,11,casual,11460,220.3846153846154
Monday,1,52,11,member,19933,383.3269230769231
Monday,1,52,12,casual,13964,268.53846153846155
Monday,1,52,12,member,23466,451.2692307692308
Monday,1,52,13,casual,15023,288.90384615384613
Monday,1,52,13,member,23342,448.88461538461536
Monday,1,52,14,casual,15856,304.9230769230769
Monday,1,52,14,member,24457,470.3269230769231
Monday,1,52,15,casual,18039,346.90384615384613
Monday,1,52,15,member,33755,649.1346153846154
Monday,1,52,16,casual,22017,423.40384615384613
Monday,1,52,16,member,53602,1030.8076923076924
Monday,1,52,17,casual,25438,489.1923076923077
Monday,1,52,17,member,66020,1269.6153846153845
Monday,1,52,18,casual,20779,399.59615384615387
Monday,1,52,18,member,47753,918.3269230769231
Monday,1,52,19,casual,15274,293.7307692307692
Monday,1,52,19,member,31802,611.5769230769231
Monday,1,52,20,casual,11077,213.01923076923077
Monday,1,52,20,member,21650,416.34615384615387
Monday,1,52,21,casual,8586,165.1153846153846
Monday,1,52,21,member,15887,305.5192307692308
