day_of_the_week_started_on,day_of_the_week_numerical,rider_type,duration_band,ride_count,duration_band_percent,avg_duration_rides_per_day
Monday,1,casual,01_to_05_min,37903,16.050051872710718,728.9038461538462
Monday,1,member,60+_min,3442,0.6566146004227361,66.1923076923077
Monday,1,casual,15_to_20_min,26110,11.056297770532066,502.11538461538464
Monday,1,casual,60+_min,11538,4.885774173741822,221.8846153846154
Monday,1,casual,20_to_30_min,27078,11.466198047892275,520.7307692307693
Monday,1,casual,05_to_10_min,66802,28.287353644851898,1284.6538461538462
Monday,1,casual,45_to_60_min,7638,3.234316444707925,146.8846153846154
Monday,1,casual,10_to_15_min,42259,17.894603120831658,812.6730769230769
Monday,1,casual,30_to_45_min,16827,7.125404924731638,323.59615384615387
Monday,1,member,20_to_30_min,43660,8.328818551556266,839.6153846153846
Monday,1,member,05_to_10_min,179413,34.22579759025112,3450.25
Monday,1,member,10_to_15_min,95703,18.256823679330946,1840.4423076923076
Monday,1,member,45_to_60_min,4471,0.8529122250116367,85.98076923076923
Monday,1,member,30_to_45_min,20205,3.854415456577973,388.5576923076923
Monday,1,member,01_to_05_min,127776,24.37524322591968,2457.230769230769
Monday,1,member,15_to_20_min,49534,9.449374670929638,952.5769230769231
Tuesday,2,member,30_to_45_min,21755,3.5916587007952665,410.47169811320754
Tuesday,2,casual,01_to_05_min,41102,17.430356181114213,775.5094339622641
Tuesday,2,casual,20_to_30_min,23715,10.056953355922428,447.45283018867923
Tuesday,2,casual,05_to_10_min,74087,31.41849054523402,1397.867924528302
Tuesday,2,casual,10_to_15_min,45280,19.20214412634061,854.3396226415094
Tuesday,2,casual,45_to_60_min,5336,2.2628675145351917,100.67924528301887
Tuesday,2,casual,30_to_45_min,13000,5.5129830751419595,245.28301886792454
Tuesday,2,member,10_to_15_min,114771,18.94820780275677,2165.490566037736
Tuesday,2,casual,60+_min,8034,3.4070235404377307,151.58490566037736
Tuesday,2,member,05_to_10_min,209598,34.60374536287227,3954.6792452830186
Tuesday,2,member,45_to_60_min,4095,0.6760672203979139,77.26415094339623
Tuesday,2,member,15_to_20_min,59488,9.821217779494775,1122.4150943396226
Tuesday,2,member,01_to_05_min,142228,23.48124264291929,2683.5471698113206
Tuesday,2,casual,15_to_20_min,25253,10.709181661273838,476.47169811320754
Tuesday,2,member,60+_min,3166,0.5226932404834665,59.735849056603776
Tuesday,2,member,20_to_30_min,50608,8.35516725028025,954.8679245283018
Wednesday,3,member,05_to_10_min,203218,34.42050955457166,3908.0384615384614
Wednesday,3,member,15_to_20_min,58178,9.854030670835606,1118.8076923076924
Wednesday,3,casual,01_to_05_min,40683,17.95136544749348,782.3653846153846
Wednesday,3,casual,15_to_20_min,23931,10.55954886620865,460.21153846153845
Wednesday,3,casual,60+_min,6585,2.9056299061461686,126.63461538461539
Wednesday,3,casual,05_to_10_min,73133,32.26992132516139,1406.4038461538462
Wednesday,3,casual,10_to_15_min,43661,19.265407339749103,839.6346153846154
Wednesday,3,member,30_to_45_min,20425,3.459530689467105,392.78846153846155
Wednesday,3,casual,30_to_45_min,11689,5.1577688645319,224.78846153846155
Wednesday,3,casual,45_to_60_min,4518,1.9935665779754579,86.88461538461539
Wednesday,3,member,60+_min,2890,0.4895003031853089,55.57692307692308
Wednesday,3,member,20_to_30_min,49350,8.358768153008649,949.0384615384615
Wednesday,3,member,45_to_60_min,3837,0.6499005755439551,73.78846153846153
Wednesday,3,member,10_to_15_min,112060,18.98041660032724,2155.0
Wednesday,3,member,01_to_05_min,140440,23.787343453060476,2700.769230769231
Wednesday,3,casual,20_to_30_min,22429,9.896791672733851,431.3269230769231
Thursday,4,casual,01_to_05_min,44020,17.293738189618256,846.5384615384615
Thursday,4,member,01_to_05_min,139714,23.453397548131722,2686.8076923076924
Thursday,4,casual,15_to_20_min,27417,10.771068149585728,527.25
Thursday,4,casual,45_to_60_min,5798,2.2778076788597605,111.5
Thursday,4,casual,10_to_15_min,48396,19.01289762436995,930.6923076923077
Thursday,4,casual,05_to_10_min,80258,31.530232612957338,1543.423076923077
Thursday,4,casual,60+_min,8283,3.254067092789823,159.28846153846155
Thursday,4,casual,20_to_30_min,26164,10.278813402843527,503.15384615384613
Thursday,4,member,15_to_20_min,59142,9.928001759248223,1137.3461538461538
Thursday,4,casual,30_to_45_min,14207,5.581375248975616,273.21153846153845
Thursday,4,member,60+_min,3179,0.5336498189552281,61.13461538461539
Thursday,4,member,20_to_30_min,50703,8.511370484582237,975.0576923076923
Thursday,4,member,05_to_10_min,204787,34.377019652212745,3938.2115384615386
Thursday,4,member,30_to_45_min,21382,3.589336404183922,411.1923076923077
Thursday,4,member,45_to_60_min,4083,0.6854017649557083,78.51923076923077
Thursday,4,member,10_to_15_min,112719,18.921822567730217,2167.673076923077
Friday,5,casual,60+_min,13209,4.151332392586749,254.01923076923077
Friday,5,casual,10_to_15_min,60011,18.860292846659355,1154.0576923076924
Friday,5,casual,20_to_30_min,38366,12.057689346202077,737.8076923076923
Friday,5,casual,15_to_20_min,36164,11.365643473806283,695.4615384615385
Friday,5,casual,01_to_05_min,48130,15.126325085562891,925.5769230769231
Friday,5,casual,30_to_45_min,22387,7.035799702690556,430.5192307692308
Friday,5,casual,05_to_10_min,90570,28.464393579875985,1741.7307692307693
Friday,5,casual,45_to_60_min,9350,2.938523572616103,179.80769230769232
Friday,5,member,01_to_05_min,129614,23.663503353793235,2492.576923076923
Friday,5,member,15_to_20_min,53661,9.79683717397734,1031.9423076923076
Friday,5,member,10_to_15_min,101346,18.502641773986834,1948.9615384615386
Friday,5,member,45_to_60_min,4925,0.8991525145233671,94.71153846153847
Friday,5,member,60+_min,3823,0.6979614341163111,73.51923076923077
Friday,5,member,20_to_30_min,47436,8.6603449094275,912.2307692307693
Friday,5,member,05_to_10_min,185599,33.88463097320252,3569.2115384615386
Friday,5,member,30_to_45_min,21334,3.8949278669728957,410.2692307692308
Saturday,6,casual,60+_min,23488,5.497316641038424,451.6923076923077
Saturday,6,member,20_to_30_min,48851,10.352156849448603,939.4423076923077
Saturday,6,member,60+_min,4560,0.9663228026751883,87.6923076923077
Saturday,6,member,05_to_10_min,147474,31.251642324938757,2836.0384615384614
Saturday,6,member,10_to_15_min,90113,19.096106736287116,1732.9423076923076
Saturday,6,member,45_to_60_min,6107,1.2941520517406526,117.4423076923077
Saturday,6,member,01_to_05_min,98386,20.849262119298483,1892.0384615384614
Saturday,6,member,15_to_20_min,52069,11.034092546599645,1001.3269230769231
Saturday,6,casual,20_to_30_min,61183,14.319751534768981,1176.5961538461538
Saturday,6,member,30_to_45_min,24332,5.156264569011554,467.9230769230769
Saturday,6,casual,15_to_20_min,54171,12.678607789581593,1041.75
Saturday,6,casual,01_to_05_min,50837,11.89829215260858,977.6346153846154
Saturday,6,casual,05_to_10_min,103140,24.13969849951903,1983.4615384615386
Saturday,6,casual,30_to_45_min,38376,8.981821501042683,738.0
Saturday,6,casual,10_to_15_min,79558,18.62038135761814,1529.9615384615386
Saturday,6,casual,45_to_60_min,16510,3.8641305238225634,317.5
Sunday,7,casual,15_to_20_min,40588,12.18273502221155,780.5384615384615
Sunday,7,casual,60+_min,20559,6.170908872613759,395.36538461538464
Sunday,7,casual,20_to_30_min,46346,13.911033737543525,891.2692307692307
Sunday,7,member,01_to_05_min,87560,22.05058337341691,1683.8461538461538
Sunday,7,member,60+_min,4234,1.0662650754116856,81.42307692307692
Sunday,7,member,20_to_30_min,39917,10.052457018235298,767.6346153846154
Sunday,7,member,15_to_20_min,41662,10.491907315021646,801.1923076923077
Sunday,7,member,10_to_15_min,73361,18.47479267767517,1410.7884615384614
Sunday,7,member,30_to_45_min,20505,5.16385577971578,394.3269230769231
Sunday,7,member,05_to_10_min,124409,31.33041373804733,2392.480769230769
Sunday,7,casual,10_to_15_min,60786,18.245287549525756,1168.9615384615386
Sunday,7,casual,01_to_05_min,41067,12.326509785088247,789.75
Sunday,7,casual,30_to_45_min,29785,8.940148877416258,572.7884615384615
Sunday,7,casual,05_to_10_min,80304,24.103733941649658,1544.3076923076924
Sunday,7,casual,45_to_60_min,13725,4.119642213951255,263.9423076923077
Sunday,7,member,45_to_60_min,5439,1.3697250224761828,104.59615384615384
