station_name,station_lat,station_lng,rider_type,endpoint_role,percent_of_endpoint_role_x_rider_type,running_count,total_count
Shedd Aquarium,41.867228239019695,-87.61537003995181,member,start,0.1242932852120161,2269266,2982462
Clinton St & Washington Blvd,41.88323189219355,-87.64118211359806,casual,start,0.23193133301561356,813302,1619876
State St & Chicago Ave,41.89661657394328,-87.62858010347027,casual,start,0.4552817623077322,369079,1619876
DuSable Lake Shore Dr & Monroe St,41.88096025449028,-87.61674373756692,member,start,0.2887211974536473,1170110,2982462
Theater on the Lake,41.9262766323222,-87.63083513759794,member,start,0.4012121529125937,634798,2982462
Franklin St & Monroe St,41.88031625873694,-87.63518484011468,member,start,0.41884858885041953,586149,2982462
Michigan Ave & Oak St,41.90096116848844,-87.62377517666353,member,start,0.4533838151165044,456698,2982462
Navy Pier,41.892279875274404,-87.61204589320545,member,start,0.4651861448695742,415722,2982462
Daley Center Plaza,41.88424075497474,-87.6296334019633,member,start,0.4964019658926082,315909,2982462
Clark St & Armitage Ave,41.91830590101953,-87.63628383896142,member,start,0.5041807741389497,301104,2982462
DuSable Lake Shore Dr & North Blvd,41.9117224086977,-87.62680405733994,member,start,0.5063266522758714,286067,2982462
Canal St & Adams St,41.87925502089962,-87.63990649492861,member,start,0.5108531139709408,270966,2982462
Kingsbury St & Erie St,41.893906723311474,-87.64173801324614,member,start,0.5240636762513654,255730,2982462
Millennium Park,41.88103429018962,-87.62408479997065,member,start,0.284027089029131,1187106,2982462
University Ave & 57th St,41.79147794830312,-87.59986217847447,member,start,0.5332171876791725,224389,2982462
Wells St & Hubbard St,41.88990952184859,-87.63426982717843,member,start,0.5406271731207305,208486,2982462
Kingsbury St & Kinzie St,41.88916794331457,-87.63849398750075,member,start,0.5635947750549714,192362,2982462
Wells St & Huron St,41.89478988238097,-87.63438108273776,member,start,0.6023882282490104,175553,2982462
Clark St & Elm St,41.90296506574766,-87.63130768074191,member,start,0.6025894043243468,157587,2982462
Clinton St & Jackson Blvd,41.87831888542626,-87.64098495269103,member,start,0.6384993337718972,139615,2982462
Clinton St & Washington Blvd,41.88323519463374,-87.64118629276884,member,start,0.6409134466759342,120572,2982462
Wells St & Elm St,41.9032195855065,-87.63434277673969,member,start,0.644065205189538,101457,2982462
Wells St & Concord Ln,41.91213029645219,-87.63465809113207,member,start,0.6441657932272062,82248,2982462
Clinton St & Madison St,41.88232618757907,-87.64117759299984,member,start,0.6574769435452992,63036,2982462
State St & Chicago Ave,41.896616781202,-87.62858114357573,member,start,0.7005286236672923,43427,2982462
Canal St & Madison St,41.88240556576735,-87.63976331668442,member,start,0.7555502802718023,22534,2982462
Navy Pier,41.89227800000121,-87.61204300000087,casual,start,2.837995007025229,45972,1619876
Desplaines St & Kinzie St,41.88871075273055,-87.64444736299497,member,start,0.5267795532684071,240100,2982462
Michigan Ave & Oak St,41.900960669189445,-87.62377602777599,casual,start,1.3870814803108387,100607,1619876
DuSable Lake Shore Dr & North Blvd,41.91172214519729,-87.62680401306172,casual,start,1.2216367178722323,120396,1619876
Millennium Park,41.88103312148464,-87.62408459760144,casual,start,1.1195301368746742,138531,1619876
Shedd Aquarium,41.867226968889476,-87.6153618038638,casual,start,1.041190807197588,155397,1619876
