start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
Navy Pier,Navy Pier,casual,0.6376736074263762,8713,8713,1366373,1,0.6376736074263762
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,0.449730783614723,6145,14858,1366373,2,1.0874043910410993
DuSable Lake Shore Dr & Monroe St,Navy Pier,casual,0.3482943530060972,4759,19617,1366373,3,1.4356987440471964
Michigan Ave & Oak St,Michigan Ave & Oak St,casual,0.28974518670963195,3959,23576,1366373,4,1.7254439307568283
Millennium Park,Millennium Park,casual,0.1780626519991247,2433,26009,1366373,5,1.9035065827559532
Navy Pier,DuSable Lake Shore Dr & Monroe St,casual,0.17630617701023074,2409,28418,1366373,6,2.079812759766184
Dusable Harbor,Dusable Harbor,casual,0.16832885310233736,2300,30718,1366373,7,2.248141612868521
Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,casual,0.1511300355027507,2065,32783,1366373,8,2.399271648371272
Navy Pier,DuSable Lake Shore Dr & North Blvd,casual,0.1385419647490107,1893,34676,1366373,9,2.5378136131202824
Navy Pier,Theater on the Lake,casual,0.13246748874575245,1810,36486,1366373,10,2.6702811018660353
Shedd Aquarium,Navy Pier,casual,0.1290277252258351,1763,38249,1366373,11,2.7993088270918705
DuSable Lake Shore Dr & Monroe St,Shedd Aquarium,casual,0.12595389399527068,1721,39970,1366373,12,2.925262721087141
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,casual,0.1258807075374001,1720,41690,1366373,13,3.051143428624541
Dusable Harbor,Navy Pier,casual,0.12544158879017664,1714,43404,1366373,14,3.1765850174147174
Navy Pier,Millennium Park,casual,0.12449016483785907,1701,45105,1366373,15,3.3010751822525766
Montrose Harbor,Montrose Harbor,casual,0.11643965447209512,1591,46696,1366373,16,3.4175148367246724
Shedd Aquarium,Shedd Aquarium,casual,0.11578097635125988,1582,48278,1366373,17,3.5332958130759318
Adler Planetarium,Adler Planetarium,casual,0.11234121283134255,1535,49813,1366373,18,3.6456370259072743
Theater on the Lake,Theater on the Lake,casual,0.1085355170220723,1483,51296,1366373,19,3.754172542929347
Navy Pier,Michigan Ave & Oak St,casual,0.10846233056420172,1482,52778,1366373,20,3.8626348734935485
Michigan Ave & 8th St,Michigan Ave & 8th St,casual,0.1053153128757667,1439,54217,1366373,21,3.967950186369315
Michigan Ave & Oak St,Navy Pier,casual,0.09770392125722624,1335,55552,1366373,22,4.065654107626542
DuSable Lake Shore Dr & North Blvd,Navy Pier,casual,0.09770392125722624,1335,56887,1366373,23,4.163358028883767
Millennium Park,Navy Pier,casual,0.09697205667852044,1325,58212,1366373,24,4.2603300855622885
DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,0.09587425981046171,1310,59522,1366373,25,4.356204345372749
Theater on the Lake,Navy Pier,casual,0.09280042857989729,1268,60790,1366373,26,4.449004773952646
