start_station,end_station,ride_type,route_percent_x_rider_type,running_count,total_count
Navy Pier,Navy Pier,casual,0.6376736074263762,8713,1366373
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,0.449730783614723,14858,1366373
DuSable Lake Shore Dr & Monroe St,Navy Pier,casual,0.3482943530060972,19617,1366373
Michigan Ave & Oak St,Michigan Ave & Oak St,casual,0.28974518670963195,23576,1366373
Millennium Park,Millennium Park,casual,0.1780626519991247,26009,1366373
Navy Pier,DuSable Lake Shore Dr & Monroe St,casual,0.17630617701023074,28418,1366373
Dusable Harbor,Dusable Harbor,casual,0.16832885310233736,30718,1366373
Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,casual,0.1511300355027507,32783,1366373
Navy Pier,DuSable Lake Shore Dr & North Blvd,casual,0.1385419647490107,34676,1366373
Navy Pier,Theater on the Lake,casual,0.13246748874575245,36486,1366373
Shedd Aquarium,Navy Pier,casual,0.1290277252258351,38249,1366373
DuSable Lake Shore Dr & Monroe St,Shedd Aquarium,casual,0.12595389399527068,39970,1366373
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & North Blvd,casual,0.1258807075374001,41690,1366373
Dusable Harbor,Navy Pier,casual,0.12544158879017664,43404,1366373
Navy Pier,Millennium Park,casual,0.12449016483785907,45105,1366373
Ellis Ave & 60th St,Ellis Ave & 55th St,member,0.12268398948287654,3109,2534153
Ellis Ave & 55th St,Ellis Ave & 60th St,member,0.1194481943276511,6136,2534153
Montrose Harbor,Montrose Harbor,casual,0.11643965447209512,46696,1366373
Shedd Aquarium,Shedd Aquarium,casual,0.11578097635125988,48278,1366373
Adler Planetarium,Adler Planetarium,casual,0.11234121283134255,49813,1366373
Theater on the Lake,Theater on the Lake,casual,0.1085355170220723,51296,1366373
Navy Pier,Michigan Ave & Oak St,casual,0.10846233056420172,52778,1366373
Michigan Ave & 8th St,Michigan Ave & 8th St,casual,0.1053153128757667,54217,1366373
DuSable Lake Shore Dr & North Blvd,Navy Pier,casual,0.09770392125722624,55552,1366373
Michigan Ave & Oak St,Navy Pier,casual,0.09770392125722624,56887,1366373
Millennium Park,Navy Pier,casual,0.09697205667852044,58212,1366373
DuSable Lake Shore Dr & Monroe St,Dusable Harbor,casual,0.09587425981046171,59522,1366373
Theater on the Lake,Navy Pier,casual,0.09280042857989729,60790,1366373
Streeter Dr & Grand Ave,Streeter Dr & Grand Ave,casual,0.09148307233822682,62040,1366373
Ellis Ave & 60th St,University Ave & 57th St,member,0.09107579534463783,8444,2534153
Navy Pier,Shedd Aquarium,casual,0.08862880048127415,63251,1366373
University Ave & 57th St,Ellis Ave & 60th St,member,0.08843191393731949,10685,2534153
Ellis Ave & 60th St,Ellis Ave & 55th St,casual,0.07940730678958088,64336,1366373
Chicago Ave & Sheridan Rd,Sheridan Rd & Noyes St (NU),casual,0.07867544221087507,65411,1366373
Sheridan Rd & Noyes St (NU),Chicago Ave & Sheridan Rd,casual,0.07552842452244006,66443,1366373
Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,casual,0.07472337348586366,67464,1366373
Dusable Harbor,DuSable Lake Shore Dr & Monroe St,casual,0.07413788182289902,68477,1366373
Michigan Ave & Oak St,Theater on the Lake,casual,0.07406469536502844,69489,1366373
Ellis Ave & 55th St,Ellis Ave & 60th St,casual,0.06916120268769947,70434,1366373
DuSable Lake Shore Dr & Monroe St,Adler Planetarium,casual,0.06894164331408772,71376,1366373
Shedd Aquarium,Millennium Park,casual,0.06842933810899367,72311,1366373
DuSable Lake Shore Dr & Monroe St,Michigan Ave & Oak St,casual,0.0679170329038996,73239,1366373
Adler Planetarium,DuSable Lake Shore Dr & Monroe St,casual,0.06491638813120576,74126,1366373
Michigan Ave & Lake St,Michigan Ave & Lake St,casual,0.06367221834740587,74996,1366373
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & North Blvd,casual,0.06337947251592355,75862,1366373
Adler Planetarium,Navy Pier,casual,0.06279398085295888,76720,1366373
Field Museum,DuSable Lake Shore Dr & Monroe St,casual,0.06059838711684145,77548,1366373
Lakefront Trail & Wilson Ave,Lakefront Trail & Wilson Ave,casual,0.06015926836961796,78370,1366373
Blackstone Ave & 59th St,University Ave & 57th St,member,0.05938867937334486,12190,2534153
DuSable Lake Shore Dr & Monroe St,Field Museum,casual,0.05898828504368865,79176,1366373
Michigan Ave & Oak St,DuSable Lake Shore Dr & Monroe St,casual,0.058695539212206334,79978,1366373
Field Museum,Navy Pier,casual,0.05818323400711226,80773,1366373
Columbus Dr & Randolph St,Columbus Dr & Randolph St,casual,0.05811004754924168,81567,1366373
Michigan Ave & Washington St,Michigan Ave & Washington St,casual,0.05767092880201819,82355,1366373
McClurg Ct & Ohio St,McClurg Ct & Ohio St,casual,0.05737818297053587,83139,1366373
New St & Illinois St,New St & Illinois St,casual,0.05715862359692412,83920,1366373
Shore Dr & 55th St,Shore Dr & 55th St,casual,0.05628038610247714,84689,1366373
Field Museum,Field Museum,casual,0.05591445381312424,85453,1366373
University Ave & 57th St,Blackstone Ave & 59th St,member,0.055758275052848034,13603,2534153
Navy Pier,Wabash Ave & Grand Ave,casual,0.05496302986080667,86204,1366373
Wabash Ave & Grand Ave,Wabash Ave & Grand Ave,casual,0.05364567361913621,86937,1366373
DuSable Lake Shore Dr & North Blvd,DuSable Lake Shore Dr & Monroe St,casual,0.05335292778765389,87666,1366373
University Ave & 57th St,Kimbark Ave & 53rd St,member,0.052759245396785434,14940,2534153
Michigan Ave & 8th St,Millennium Park,casual,0.05174282571450109,88373,1366373
Theater on the Lake,Michigan Ave & Oak St,casual,0.05108414759366586,89071,1366373
Millennium Park,DuSable Lake Shore Dr & Monroe St,casual,0.05035228301496005,89759,1366373
Michigan Ave & Oak St,DuSable Lake Shore Dr & North Blvd,casual,0.04962041843625423,90437,1366373
DuSable Lake Shore Dr & Monroe St,Millennium Park,casual,0.04954723197838365,91114,1366373
Field Museum,Millennium Park,casual,0.04896174031541899,91783,1366373
DuSable Lake Shore Dr & Diversey Pkwy,DuSable Lake Shore Dr & Diversey Pkwy,casual,0.04844943511032493,92445,1366373
Lakefront Trail & Bryn Mawr Ave,Lakefront Trail & Bryn Mawr Ave,casual,0.04786394344736027,93099,1366373
Millennium Park,Shedd Aquarium,casual,0.04779075698948969,93752,1366373
Shedd Aquarium,Dusable Harbor,casual,0.04749801115800737,94401,1366373
University Ave & 57th St,Lake Park Ave & 56th St,member,0.04735309983256733,16140,2534153
Morgan St & Polk St,Loomis St & Lexington St,member,0.046997951583823076,17331,2534153
Kimbark Ave & 53rd St,University Ave & 57th St,member,0.0469190297507688,18520,2534153
Loomis St & Lexington St,Morgan St & Polk St,member,0.045853585004536034,19682,2534153
Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,casual,0.04566834971124283,95025,1366373
Ellis Ave & 60th St,University Ave & 57th St,casual,0.045595163253372255,95648,1366373
DuSable Lake Shore Dr & Monroe St,Theater on the Lake,casual,0.04486329867466643,96261,1366373
Ellis Ave & 55th St,Kimbark Ave & 53rd St,member,0.04431460925997759,20805,2534153
Lincoln Park Conservatory,Lincoln Park Conservatory,casual,0.04354594243299597,96856,1366373
Michigan Ave & 8th St,Navy Pier,casual,0.043106823685772476,97445,1366373
Theater on the Lake,DuSable Lake Shore Dr & Monroe St,casual,0.042960450770031314,98032,1366373
Kimbark Ave & 53rd St,Ellis Ave & 55th St,member,0.04167072785265925,21861,2534153
Sheridan Rd & Noyes St (NU),Benson Ave & Church St,casual,0.0410576028653962,98593,1366373
Chicago Ave & Sheridan Rd,Chicago Ave & Sheridan Rd,casual,0.0410576028653962,99154,1366373
Theater on the Lake,DuSable Lake Shore Dr & North Blvd,casual,0.04076485703391387,99711,1366373
Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,casual,0.0398866195394669,100256,1366373
Navy Pier,Michigan Ave & 8th St,casual,0.039520687250113984,100796,1366373
DuSable Lake Shore Dr & North Blvd,Michigan Ave & Oak St,casual,0.039520687250113984,101336,1366373
Navy Pier,Dusable Harbor,casual,0.039301127876502244,101873,1366373
Clark St & Lincoln Ave,Clark St & Lincoln Ave,casual,0.039301127876502244,102410,1366373
Field Blvd & South Water St,Field Blvd & South Water St,casual,0.03915475496076108,102945,1366373
