start_station,end_station,ride_type,route_percent_x_rider_type,route_count,running_count,total_count,pair_rank,cumulative_route_percent
Navy Pier,Navy Pier,casual,0.6376731407359918,8713,8713,1366374,1,0.6376731407359918
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,casual,0.4497304544729335,6145,14858,1366374,2,1.0874035952089252
DuSable Lake Shore Dr & Monroe St,Navy Pier,casual,0.34829409810198375,4759,19617,1366374,3,1.4356976933109091
Michigan Ave & Oak St,Michigan Ave & Oak St,casual,0.28974497465554816,3959,23576,1366374,4,1.7254426679664572
Millennium Park,Millennium Park,casual,0.17806252168147227,2433,26009,1366374,5,1.9035051896479294
Navy Pier,DuSable Lake Shore Dr & Monroe St,casual,0.1763060479780792,2409,28418,1366374,6,2.0798112376260085
Dusable Harbor,Dusable Harbor,casual,0.16832872990850237,2300,30718,1366374,7,2.248139967534511
Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,casual,0.15112992489611188,2065,32783,1366374,8,2.399269892430623
Navy Pier,DuSable Lake Shore Dr & North Blvd,casual,0.13854186335512825,1893,34676,1366374,9,2.5378117557857514
Navy Pier,Theater on the Lake,casual,0.13246739179756054,1810,36486,1366374,10,2.6702791475833116
Ellis Ave & 60th St,Ellis Ave & 55th St,casual,0.07940724867422828,1085,64336,1366374,29,4.708520507562351
Ellis Ave & 55th St,Ellis Ave & 60th St,casual,0.06916115207110206,945,70434,1366374,35,5.154811201032807
Ellis Ave & 60th St,University Ave & 57th St,casual,0.04559512988391173,623,95648,1366374,68,7.000133199255841
University Ave & 57th St,Ellis Ave & 60th St,casual,0.03813011664449119,521,103998,1366374,83,7.6112396752280125
University Ave & 57th St,Kimbark Ave & 53rd St,casual,0.03776418462295097,516,104514,1366374,84,7.649003859850962
Kimbark Ave & 53rd St,University Ave & 57th St,casual,0.03329981396016025,455,111752,1366374,99,8.178727054232589
Blackstone Ave & 59th St,University Ave & 57th St,casual,0.02422469982596273,331,135305,1366374,161,9.902486434899961
University Ave & 57th St,Lake Park Ave & 56th St,casual,0.02224866690964553,304,140973,1366374,179,10.317306974517958
University Ave & 57th St,Blackstone Ave & 59th St,casual,0.019613956354555928,268,154246,1366374,226,11.288710118898633
Morgan St & Polk St,Loomis St & Lexington St,casual,0.01917483792870766,262,156630,1366374,235,11.463186506769011
Ellis Ave & 60th St,Ellis Ave & 55th St,member,0.12268398948287654,3109,3109,2534153,1,0.12268398948287654
Ellis Ave & 55th St,Ellis Ave & 60th St,member,0.1194481943276511,3027,6136,2534153,2,0.24213218381052762
Ellis Ave & 60th St,University Ave & 57th St,member,0.09107579534463783,2308,8444,2534153,3,0.3332079791551654
University Ave & 57th St,Ellis Ave & 60th St,member,0.08843191393731949,2241,10685,2534153,4,0.4216398930924849
Blackstone Ave & 59th St,University Ave & 57th St,member,0.05938867937334486,1505,12190,2534153,5,0.4810285724658298
University Ave & 57th St,Blackstone Ave & 59th St,member,0.055758275052848034,1413,13603,2534153,6,0.5367868475186779
University Ave & 57th St,Kimbark Ave & 53rd St,member,0.052759245396785434,1337,14940,2534153,7,0.5895460929154632
University Ave & 57th St,Lake Park Ave & 56th St,member,0.04735309983256733,1200,16140,2534153,8,0.6368991927480306
Morgan St & Polk St,Loomis St & Lexington St,member,0.046997951583823076,1191,17331,2534153,9,0.6838971443318537
Kimbark Ave & 53rd St,University Ave & 57th St,member,0.0469190297507688,1189,18520,2534153,10,0.7308161740826224
Navy Pier,Navy Pier,member,0.032713099800998596,829,31761,2534153,24,1.2533181698184759
Navy Pier,Theater on the Lake,member,0.018191482519011284,461,86808,2534153,117,3.4255232418879205
DuSable Lake Shore Dr & Monroe St,DuSable Lake Shore Dr & Monroe St,member,0.01566598386127436,397,115624,2534153,184,4.5626290125339715
Navy Pier,DuSable Lake Shore Dr & North Blvd,member,0.015192452862948683,385,121098,2534153,198,4.778638069603533
Michigan Ave & Oak St,Michigan Ave & Oak St,member,0.014679460948095873,372,126372,2534153,212,4.986754943367665
DuSable Lake Shore Dr & Monroe St,Navy Pier,member,0.013890242617553084,352,137921,2534153,244,5.442489068339599
Navy Pier,DuSable Lake Shore Dr & Monroe St,member,0.012588032372157481,319,162268,2534153,317,6.403244003025862
Dusable Harbor,Dusable Harbor,member,0.011285822126761881,286,193706,2534153,422,7.643816296806073
Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,member,0.006629433976559427,168,428176,2534153,1524,16.89621739492446
Millennium Park,Millennium Park,member,0.0050115363989467095,127,595598,2534153,2680,23.5028429617312
