start_hour,day_of_the_week_started_on,member_rides,casual_rides,member_daily_percent,casual_daily_percent
0,Monday,2996,4378,0.5091627196359045,1.6110988444836976
1,Monday,1771,2591,0.30097702819599026,0.9534849488481637
2,Monday,1067,1749,0.18133398593174568,0.6436299403841907
3,Monday,836,1025,0.14207611268879042,0.37719879296386255
4,Monday,1427,978,0.24251508708959804,0.35990284831088537
5,Monday,6599,1894,1.1214835737240767,0.6969897696327372
6,Monday,19825,4439,3.3692092512622853,1.6335467726503274
7,Monday,38772,7881,6.589204594700697,2.900198719364098
8,Monday,47984,10636,8.154760994328852,3.9140354750864796
9,Monday,26097,9050,4.435119991434646,3.330389342754103
10,Monday,18666,10047,3.1722400950346437,3.69728416869066
11,Monday,22216,13118,3.7755537314523546,4.827408552292633
12,Monday,26119,15935,4.438858836505403,5.864061235004048
13,Monday,25892,17067,4.400280753275313,6.2806359019651135
14,Monday,27204,17909,4.623251877495042,6.590490910429087
15,Monday,37237,20297,6.328335177263742,7.469272098329285
16,Monday,59876,25060,10.175776702576574,9.222050489438434
17,Monday,74148,29392,12.601267468478985,10.816221388091558
18,Monday,54020,24259,9.180564123742176,8.927283432693017
19,Monday,36342,18218,6.176232161885194,6.70420254655185
20,Monday,25029,13206,4.253616057999684,4.859792448664164
21,Monday,18041,10081,3.066022905524483,3.709796128652388
22,Monday,10897,7878,1.8519179425475472,2.8990947228968866
23,Monday,5356,4652,0.9102388272262698,1.7119305218223302
0,Tuesday,2790,3475,0.4199283864063612,1.3040916579414492
1,Tuesday,1441,1813,0.2168877436600597,0.6803793311792367
2,Tuesday,806,1201,0.12131264496183769,0.4507090881115627
3,Tuesday,731,659,0.11002424747779571,0.24730831729019137
4,Tuesday,1445,807,0.21748979152587528,0.3028494871823739
5,Tuesday,7893,2017,1.1879909512205769,0.7569360788684613
6,Tuesday,24116,5166,3.6297465830020816,1.93868705177713
7,Tuesday,49058,9592,7.38381605029508,3.5996682540933467
8,Tuesday,61858,13391,9.310369220904908,5.025350040717682
9,Tuesday,29586,9400,4.453047039504876,3.5276148445034883
10,Tuesday,19648,8616,2.957259116886088,3.2333967553448995
11,Tuesday,22777,10691,3.428211059920319,4.012098968360297
12,Tuesday,27226,12988,4.097838798673688,4.874112936213969
13,Tuesday,26229,13556,3.947778368119157,5.087270939583967
14,Tuesday,26442,14309,3.9798374169738366,5.369855405319193
15,Tuesday,38764,17125,5.834445867618705,6.42663874597045
16,Tuesday,67472,23778,10.155343400577063,8.923364443894037
17,Tuesday,83315,30411,12.539904485106087,11.412584578318679
18,Tuesday,60984,26765,9.178821762224205,10.044320352461263
19,Tuesday,41318,20023,6.218853429941947,7.5141948969673775
20,Tuesday,28875,14808,4.346033031356158,5.557119214617836
21,Tuesday,22156,13034,3.3347431287524514,4.8913757322615385
22,Tuesday,13130,8380,1.9762221195396141,3.144831106057365
23,Tuesday,6339,4464,0.9540953553512272,1.67524177296421
0,Wednesday,3065,3179,0.48070438483954037,1.2644281634568726
1,Wednesday,1501,1692,0.23541183740429045,0.6729828413240102
2,Wednesday,818,1088,0.12829239373531617,0.43274546770716493
3,Wednesday,687,676,0.10774679033760662,0.2688749413327606
4,Wednesday,1259,852,0.19745736395203306,0.3388778846383314
5,Wednesday,7715,2130,1.2099948871246506,0.8471947115958285
6,Wednesday,23067,5026,3.6177514013356213,1.9990613241693118
7,Wednesday,48258,9745,7.568623883715022,3.8760152415499287
8,Wednesday,58873,13373,9.233445105598127,5.319030459235218
9,Wednesday,28979,8529,4.544969777574239,3.392358542347803
10,Wednesday,19536,7872,3.0639611296004112,3.1310407369400757
11,Wednesday,22335,9876,3.5029469609759007,3.928119705033053
12,Wednesday,26283,11638,4.122138122916033,4.6289446260808695
13,Wednesday,24778,11577,3.88609893884311,4.604682242321552
