end_station_name,end_lat,end_lng,casual_stops,percent_of_casual_stops
Navy Pier,41.89227800000526,-87.61204299999201,47271,2.637858240579636
DuSable Lake Shore Dr & Monroe St,41.88095800358492,-87.61674300022916,34310,1.9145970306168116
Michigan Ave & Oak St,41.900960389998815,-87.62377663999453,26848,1.4981958926843533
DuSable Lake Shore Dr & North Blvd,41.91172200134343,-87.62680400103369,26339,1.4697922235329701
Millennium Park,41.88103170000167,-87.62408431999853,22144,1.23569911530104
Theater on the Lake,41.92627699999936,-87.63083400000582,20619,1.1505997136195873
Shedd Aquarium,41.86722596134908,-87.61535540232808,17160,0.9575775297401483
Streeter Dr & Grand Ave,41.89227800480956,-87.61204300265348,15474,0.8634938633565882
Dusable Harbor,41.88697599499188,-87.61281299956639,15229,0.8498221562012074
Montrose Harbor,41.963982000000705,-87.63818099999831,12344,0.6888308290858036
Clark St & Lincoln Ave,41.915688999999404,-87.63459999999692,11384,0.6352600581912499
Michigan Ave & Washington St,41.88398406451349,-87.62468397213563,10923,0.6095349275845944
Michigan Ave & 8th St,41.8727729706987,-87.62398098946309,10838,0.6047916822449724
Clark St & Armitage Ave,41.91830579135754,-87.63628186217309,10745,0.5996020138145626
Wabash Ave & Grand Ave,41.89146605361787,-87.62676097865152,10692,0.5966444608380924
Adler Planetarium,41.86609500000031,-87.60726700000185,10623,0.5927940616800463
Wells St & Concord Ln,41.91213300000129,-87.63465600000175,10494,0.5855954893410907
Michigan Ave & Lake St,41.88602199999992,-87.62439800000261,9704,0.5415112091257809
Indiana Ave & Roosevelt Rd,41.867888009712296,-87.6230410029612,9693,0.5408973773759475
DuSable Lake Shore Dr & Diversey Pkwy,41.93258799999888,-87.63642699999646,9563,0.5336430021506433
Wells St & Elm St,41.903221999998586,-87.63432400000045,9105,0.5080852802030332
McClurg Ct & Ohio St,41.892592108453336,-87.61728912217842,9069,0.5060763762944874
New St & Illinois St,41.89084704062238,-87.61861681938171,8968,0.5004402847732896
LaSalle St & Illinois St,41.89076199999954,-87.63169700000185,8771,0.4894471161626364
Field Museum,41.86531200000067,-87.61786699999813,8698,0.48537350545919633
Dearborn St & Erie St,41.89391647130042,-87.62961805771275,8519,0.475384788802816
Clark St & Elm St,41.90297227388709,-87.63131098981627,8455,0.47181340407651245
DuSable Lake Shore Dr & Belmont Ave,41.94077499999931,-87.63919200000157,8442,0.47108796655398205
Lincoln Park Conservatory,41.923931311365344,-87.63582453131676,8377,0.4674607789413299
Canal St & Madison St,41.88240900000064,-87.63976699999496,7932,0.44262849451625036
State St & Chicago Ave,41.89661720040817,-87.62857854366302,7901,0.4408986050394471
Dearborn Pkwy & Delaware Pl,41.89896900000116,-87.6299120000013,7836,0.437271417426795
Michigan Ave & Jackson Blvd,41.87854910343883,-87.62414615751602,7758,0.43291879229161245
Wilton Ave & Belmont Ave,41.94023191810946,-87.65294373035431,7513,0.4192470851362316
DuSable Lake Shore Dr & Wellington Ave,41.936688449499655,-87.63682901859283,7474,0.41707077256864034
Wells St & Huron St,41.89479530000098,-87.63437430000143,7441,0.41522927731914006
Wells St & Hubbard St,41.88990599999818,-87.63426600000153,7095,0.3959214786425613
Fairbanks Ct & Grand Ave,41.89184737211117,-87.62058019638062,7093,0.39580987286986435
Clark St & Newport St,41.94453999999867,-87.65467800000052,6932,0.3868256081677569
Columbus Dr & Randolph St,41.884728000001026,-87.61952099999907,6927,0.3865465937360144
Clinton St & Madison St,41.88238470425045,-87.64117673954094,6784,0.3785667809881798
Wabash Ave & Roosevelt Rd,41.86722699999974,-87.6259610000016,6684,0.3729864923533305
Lakefront Trail & Bryn Mawr Ave,41.984044115191914,-87.65228122472763,6632,0.3700847422632088
Broadway & Barry Ave,41.937582316007465,-87.6440978050232,6382,0.35613402067608546
Broadway & Cornelia Ave,41.94552899999947,-87.64643899999957,6345,0.35406931388119117
Clinton St & Jackson Blvd,41.87831661956822,-87.64098109028036,6316,0.3524510301770849
Mies van der Rohe Way & Chestnut St,41.898586651399455,-87.6219152258005,6312,0.3522278186316909
Kingsbury St & Kinzie St,41.88917054642348,-87.63849660600513,6283,0.3506095349275846
Larrabee St & Webster Ave,41.92182199999925,-87.64413999999995,6277,0.35027471760949364
Lakeview Ave & Fullerton Pkwy,41.92585801357983,-87.6389730017548,6226,0.3474287704057205
Wells St & Evergreen Ave,41.906724488826534,-87.63482999972642,6197,0.3458104867016142
Desplaines St & Kinzie St,41.88871603600006,-87.64444785329992,6030,0.33649140468141575
Sheffield Ave & Waveland Ave,41.9493989999999,-87.65452900000079,6020,0.3359333758179308
Pine Grove Ave & Waveland Ave,41.94947274088356,-87.64645278453827,6016,0.33571016427253686
Southport Ave & Waveland Ave,41.948225999999636,-87.66407119999926,6005,0.3350963325227034
