end_station_name,end_lat,end_lng,stops,percent_of_stops
Navy Pier,41.892278000005014,-87.61204299999592,47271,2.637858240579636
DuSable Lake Shore Dr & Monroe St,41.88095800358556,-87.61674300022909,34310,1.9145970306168116
Michigan Ave & Oak St,41.90096038999876,-87.62377663999459,26848,1.4981958926843533
DuSable Lake Shore Dr & North Blvd,41.91172200134303,-87.62680400103368,26339,1.4697922235329701
Millennium Park,41.88103170000151,-87.62408432000045,22144,1.23569911530104
Theater on the Lake,41.92627699999936,-87.63083400000436,20619,1.1505997136195873
Shedd Aquarium,41.867225961349114,-87.61535540232778,17160,0.9575775297401483
Streeter Dr & Grand Ave,41.892278004809555,-87.61204300265346,15474,0.8634938633565882
Dusable Harbor,41.88697599499173,-87.61281299956663,15229,0.8498221562012074
Montrose Harbor,41.96398200000061,-87.63818099999833,12344,0.6888308290858036
Clark St & Lincoln Ave,41.915688999999475,-87.63459999999722,11384,0.6352600581912499
Michigan Ave & Washington St,41.883984064513506,-87.62468397213563,10923,0.6095349275845944
Michigan Ave & 8th St,41.87277297069895,-87.62398098946267,10838,0.6047916822449724
Clark St & Armitage Ave,41.91830579135724,-87.63628186217342,10745,0.5996020138145626
Wabash Ave & Grand Ave,41.89146605361785,-87.62676097865135,10692,0.5966444608380924
Adler Planetarium,41.866095000000804,-87.60726700000319,10623,0.5927940616800463
Wells St & Concord Ln,41.91213300000128,-87.63465600000171,10494,0.5855954893410907
Michigan Ave & Lake St,41.886021999999876,-87.62439800000242,9704,0.5415112091257809
Indiana Ave & Roosevelt Rd,41.8678880097117,-87.62304100296267,9693,0.5408973773759475
DuSable Lake Shore Dr & Diversey Pkwy,41.93258799999882,-87.63642699999626,9563,0.5336430021506433
Wells St & Elm St,41.90322199999825,-87.63432400000166,9105,0.5080852802030332
McClurg Ct & Ohio St,41.89259210845447,-87.61728912217842,9069,0.5060763762944874
New St & Illinois St,41.89084704062344,-87.61861681938171,8968,0.5004402847732896
LaSalle St & Illinois St,41.89076199999955,-87.63169700000178,8771,0.4894471161626364
Field Museum,41.86531200000066,-87.61786699999818,8698,0.48537350545919633
Dearborn St & Erie St,41.89391647130034,-87.62961805771262,8519,0.475384788802816
Clark St & Elm St,41.902972273887485,-87.63131098981542,8455,0.47181340407651245
DuSable Lake Shore Dr & Belmont Ave,41.940774999999135,-87.6391919999998,8442,0.47108796655398205
Lincoln Park Conservatory,41.923931311365386,-87.63582453131676,8377,0.4674607789413299
Canal St & Madison St,41.882409000000486,-87.6397669999955,7932,0.44262849451625036
State St & Chicago Ave,41.89661720040885,-87.62857854366302,7901,0.4408986050394471
Dearborn Pkwy & Delaware Pl,41.89896900000119,-87.62991200000042,7836,0.437271417426795
Michigan Ave & Jackson Blvd,41.878549103438615,-87.62414615751547,7758,0.43291879229161245
Wilton Ave & Belmont Ave,41.94023191810951,-87.65294373035431,7513,0.4192470851362316
DuSable Lake Shore Dr & Wellington Ave,41.936688449499265,-87.63682901859283,7474,0.41707077256864034
Wells St & Huron St,41.89479530000091,-87.63437430000019,7441,0.41522927731914006
Wells St & Hubbard St,41.88990599999812,-87.63426600000189,7095,0.3959214786425613
Fairbanks Ct & Grand Ave,41.891847372111,-87.62058019638062,7093,0.39580987286986435
Clark St & Newport St,41.944539999998696,-87.65467800000044,6932,0.3868256081677569
Columbus Dr & Randolph St,41.88472800000101,-87.61952099999809,6927,0.3865465937360144
