end_station_name,end_lat,end_lng,stops,percent_of_stops
Canal St & Madison St,41.88240899999951,-87.63976699999478,23987,0.7289917594482188
State St & Chicago Ave,41.89661720040918,-87.62857854366302,23415,0.7116080396664879
Clinton St & Madison St,41.88238470425032,-87.64117673954095,22354,0.6793630629384868
Wells St & Concord Ln,41.91213300000158,-87.63465600000222,21421,0.6510081493784257
Clark St & Elm St,41.90297227388733,-87.63131098981577,21233,0.6452946191005141
Wells St & Elm St,41.90322199999844,-87.63432400000079,21146,0.642650591791055
Clinton St & Washington Blvd,41.88324889514053,-87.64117694195288,21030,0.6391252220451096
Kingsbury St & Kinzie St,41.88917054642202,-87.63849660600484,20348,0.6183984792284303
Clinton St & Jackson Blvd,41.87831661956863,-87.64098109028036,20282,0.6163926654074613
Wells St & Huron St,41.894795300000894,-87.63437429999948,19203,0.5836006485464688
Wells St & Hubbard St,41.88990599999831,-87.6342660000011,17916,0.5444872790375741
Daley Center Plaza,41.88424088150592,-87.62963351052996,17639,0.5360689392132043
Franklin St & Monroe St,41.88031622457694,-87.63518444612646,17142,0.520964553318938
Clark St & Armitage Ave,41.91830579135718,-87.63628186217338,17133,0.5206910332524424
Kingsbury St & Erie St,41.89391389999957,-87.64173579999888,17004,0.516770578966003
University Ave & 57th St,41.791478002825805,-87.59986052955192,16681,0.5069542476906549
Canal St & Adams St,41.87925509174547,-87.63990406072205,16678,0.5068630743351563
Desplaines St & Kinzie St,41.8887160360011,-87.6444478532972,16503,0.5015446285977385
Clark St & Lincoln Ave,41.91568899999974,-87.63459999999728,16370,0.49750260983730116
DuSable Lake Shore Dr & North Blvd,41.91172200134339,-87.62680400103369,16077,0.48859801211693893
Dearborn Pkwy & Delaware Pl,41.89896900000116,-87.62991200000066,16026,0.48704806507346293
Orleans St & Merchandise Mart Plaza,41.88824299999937,-87.6363899999997,15981,0.48568046474098414
Clinton St & Lake St,41.885636999999534,-87.64182300000124,15485,0.4706064699652173
McClurg Ct & Ohio St,41.892592108453165,-87.61728912217842,15484,0.47057607884671787
Wilton Ave & Belmont Ave,41.940231918109475,-87.65294373035431,15447,0.46945160746223524
Broadway & Waveland Ave,41.94907400000015,-87.6486359999989,15431,0.4689653495662428
Broadway & Cornelia Ave,41.945528999999894,-87.64643900000098,15202,0.4620057834298505
Ravenswood Ave & Lawrence Ave,41.968444999999946,-87.67422600000164,15140,0.46012153408287965
Michigan Ave & Oak St,41.900960389998495,-87.6237766399941,14664,0.44565536167710346
Columbus Dr & Randolph St,41.88472800000038,-87.6195209999979,14557,0.4424035119976538
New St & Illinois St,41.890847040622496,-87.61861681938171,14424,0.4383614932372164
Clark St & Lake St,41.88602074263286,-87.63087543554299,14274,0.4338028254622869
