end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops,running_count,total_count
Canal St & Madison St,41.882409000000074,-87.63976699999517,23987,0.7289917594482188,23987,3290435
State St & Chicago Ave,41.89661720040853,-87.62857854366302,23415,0.7116080396664879,47402,3290435
Clinton St & Madison St,41.88238470425062,-87.64117673954092,22354,0.6793630629384868,69756,3290435
Wells St & Concord Ln,41.91213300000115,-87.63465600000148,21421,0.6510081493784257,91177,3290435
Clark St & Elm St,41.90297227388753,-87.63131098981538,21233,0.6452946191005141,112410,3290435
Wells St & Elm St,41.903221999998166,-87.63432400000013,21146,0.642650591791055,133556,3290435
Clinton St & Washington Blvd,41.88324889514046,-87.64117694195274,21030,0.6391252220451096,154586,3290435
Kingsbury St & Kinzie St,41.88917054642203,-87.63849660600484,20348,0.6183984792284303,174934,3290435
Clinton St & Jackson Blvd,41.87831661956878,-87.64098109028036,20282,0.6163926654074613,195216,3290435
Wells St & Huron St,41.89479530000111,-87.63437430000093,19203,0.5836006485464688,214419,3290435
Wells St & Hubbard St,41.88990599999806,-87.63426600000254,17916,0.5444872790375741,232335,3290435
Daley Center Plaza,41.88424088150624,-87.62963351052943,17639,0.5360689392132043,249974,3290435
Franklin St & Monroe St,41.88031622457683,-87.6351844461258,17142,0.520964553318938,267116,3290435
Clark St & Armitage Ave,41.91830579135706,-87.63628186217372,17133,0.5206910332524424,284249,3290435
Kingsbury St & Erie St,41.89391389999964,-87.64173579999893,17004,0.516770578966003,301253,3290435
University Ave & 57th St,41.7914780028258,-87.59986052955418,16681,0.5069542476906549,317934,3290435
Canal St & Adams St,41.87925509174624,-87.63990406072203,16678,0.5068630743351563,334612,3290435
