end_station_name,end_lat,end_lng,member_stops,percent_of_member_stops
Canal St & Madison St,41.88240899999957,-87.6397669999952,23987,0.7289917594482188
State St & Chicago Ave,41.89661720040856,-87.62857854366302,23415,0.7116080396664879
Clinton St & Madison St,41.88238470425123,-87.64117673954031,22354,0.6793630629384868
Wells St & Concord Ln,41.91213300000176,-87.63465600000264,21421,0.6510081493784257
Clark St & Elm St,41.902972273887926,-87.63131098981458,21233,0.6452946191005141
Wells St & Elm St,41.90322199999832,-87.63432400000217,21146,0.642650591791055
Clinton St & Washington Blvd,41.88324889514062,-87.64117694195382,21030,0.6391252220451096
Kingsbury St & Kinzie St,41.889170546423124,-87.63849660600508,20348,0.6183984792284303
Clinton St & Jackson Blvd,41.87831661956803,-87.64098109028036,20282,0.6163926654074613
Wells St & Huron St,41.89479530000106,-87.6343743000004,19203,0.5836006485464688
Wells St & Hubbard St,41.889905999998135,-87.63426600000196,17916,0.5444872790375741
Daley Center Plaza,41.88424088150584,-87.62963351053034,17639,0.5360689392132043
Franklin St & Monroe St,41.88031622457702,-87.63518444612588,17142,0.520964553318938
Clark St & Armitage Ave,41.91830579135678,-87.63628186217433,17133,0.5206910332524424
Kingsbury St & Erie St,41.89391390000087,-87.64173579999995,17004,0.516770578966003
University Ave & 57th St,41.79147800282579,-87.59986052955223,16681,0.5069542476906549
Canal St & Adams St,41.87925509174526,-87.63990406072325,16678,0.5068630743351563
Desplaines St & Kinzie St,41.88871603600103,-87.64444785329734,16503,0.5015446285977385
Clark St & Lincoln Ave,41.915688999999276,-87.63459999999667,16370,0.49750260983730116
DuSable Lake Shore Dr & North Blvd,41.91172200134296,-87.62680400103369,16077,0.48859801211693893
Dearborn Pkwy & Delaware Pl,41.8989690000012,-87.62991199999927,16026,0.48704806507346293
Orleans St & Merchandise Mart Plaza,41.888242999999434,-87.63638999999972,15981,0.48568046474098414
Clinton St & Lake St,41.88563699999953,-87.64182300000206,15485,0.4706064699652173
McClurg Ct & Ohio St,41.8925921084532,-87.61728912217842,15484,0.47057607884671787
Wilton Ave & Belmont Ave,41.94023191810849,-87.65294373035431,15447,0.46945160746223524
Broadway & Waveland Ave,41.94907399999979,-87.64863599999892,15431,0.4689653495662428
Broadway & Cornelia Ave,41.94552900000007,-87.64643900000065,15202,0.4620057834298505
Ravenswood Ave & Lawrence Ave,41.968445000000756,-87.67422600000062,15140,0.46012153408287965
Michigan Ave & Oak St,41.900960389997934,-87.62377663999699,14664,0.44565536167710346
Columbus Dr & Randolph St,41.8847280000007,-87.61952099999867,14557,0.4424035119976538
New St & Illinois St,41.89084704062288,-87.61861681938171,14424,0.4383614932372164
Clark St & Lake St,41.8860207426327,-87.63087543554286,14274,0.4338028254622869
Halsted St & Clybourn Ave,41.90966799999963,-87.64812799999812,14026,0.42626582807440355
Green St & Madison St,41.88185932803947,-87.64926373958588,14016,0.42596191688940827
Ellis Ave & 55th St,41.794300620539815,-87.60144977340259,13972,0.4246247076754289
Wabash Ave & Grand Ave,41.89146605361784,-87.62676097865118,13834,0.4204307333224938
Dearborn St & Erie St,41.89391647130029,-87.62961805771248,13764,0.41830335502752675
Wabash Ave & Roosevelt Rd,41.867226999999716,-87.6259610000014,13713,0.4167534079840507
LaSalle St & Jackson Blvd,41.87816599999986,-87.6319289999988,13618,0.41386625172659547
Broadway & Barry Ave,41.93758231600691,-87.6440978050232,13582,0.41277217146061235
Pine Grove Ave & Waveland Ave,41.94947274088377,-87.64645278453827,13381,0.4066635566422069
LaSalle St & Illinois St,41.89076199999954,-87.6316970000019,13362,0.4060861253907158
Theater on the Lake,41.92627700000025,-87.63083400000491,13217,0.401679413208284
Federal St & Polk St,41.87207763284993,-87.62954377289887,13122,0.39879225695082865
Southport Ave & Waveland Ave,41.94822599999987,-87.6640711999991,13081,0.397546221092348
Clark St & Wrightwood Ave,41.929545999999526,-87.64311800000355,12999,0.3950541493753865
Lincoln Ave & Fullerton Ave,41.92416102906772,-87.64638036489487,12939,0.3932306822654148
DuSable Lake Shore Dr & Diversey Pkwy,41.9325879999993,-87.63642699999735,12750,0.38748676086900363
Ellis Ave & 60th St,41.78509714636027,-87.60107276059871,12575,0.38216831513158595
Michigan Ave & Lake St,41.88602200000022,-87.62439800000244,12562,0.3817732305910921
Franklin St & Jackson Blvd,41.87770795589973,-87.63532114080056,12539,0.3810742348656029
Michigan Ave & Washington St,41.88398406451224,-87.62468397213563,12430,0.3777616029491541
Navy Pier,41.892278000005604,-87.61204299999666,12357,0.3755430512986885
Indiana Ave & Roosevelt Rd,41.86788800971204,-87.6230410029618,12320,0.37441857991420585
Sheffield Ave & Fullerton Ave,41.92561629999936,-87.65365739999874,12280,0.3732029351742247
Clark St & Drummond Pl,41.931247999999776,-87.6443359999985,11773,0.35779463809496315
Southport Ave & Roscoe St,41.94373899999951,-87.66401999999799,11410,0.34676266207963385
Larrabee St & Webster Ave,41.92182199999991,-87.64413999999839,11340,0.3446352837846668
Clark St & Schiller St,41.90799300000052,-87.6315009999991,11243,0.3416873452902124
