start_station_name,start_lat,start_lng,member_starts,percent_of_member_starts,running_count,total_count
Canal St & Madison St,41.882405199704614,-87.63976336229096,24596,0.7499436688515123,24596,3279713
State St & Chicago Ave,41.896616584249834,-87.62858111487174,22778,0.6945119893112598,47374,3279713
Clinton St & Madison St,41.882376883364756,-87.64117953037199,21842,0.6659729067756843,69216,3279713
Clinton St & Washington Blvd,41.88325320674658,-87.64118478886681,21629,0.6594784360704733,90845,3279713
Wells St & Elm St,41.90321950670318,-87.6343383649953,21389,0.6521607225998128,112234,3279713
Wells St & Concord Ln,41.912130836661106,-87.6346576882898,21193,0.6461845899321069,133427,3279713
Clinton St & Jackson Blvd,41.87831866583077,-87.6409850452961,20743,0.6324638771746186,154170,3279713
Clark St & Elm St,41.902967802589394,-87.63131825995205,20463,0.6239265447921815,174633,3279713
Kingsbury St & Kinzie St,41.88917004876158,-87.63849737725806,20155,0.6145354791715006,194788,3279713
Wells St & Huron St,41.89479069795535,-87.63438017425372,19896,0.6066384467177464,214684,3279713
Wells St & Hubbard St,41.889909128580655,-87.63426946119475,17611,0.5369677163825005,232295,3279713
DuSable Lake Shore Dr & North Blvd,41.9117222529834,-87.62680404328518,17422,0.5312050170243555,249717,3279713
Desplaines St & Kinzie St,41.88871133968696,-87.6444475735603,17368,0.5295585314934569,267085,3279713
Kingsbury St & Erie St,41.89390683680707,-87.64173767759013,17199,0.5244056415912002,284284,3279713
Canal St & Adams St,41.87925497594855,-87.6399067117334,16908,0.5155329140080245,301192,3279713
Clark St & Armitage Ave,41.91830592063583,-87.63628337191471,16766,0.5112032668712171,317958,3279713
University Ave & 57th St,41.79147792376171,-87.59986220993873,16643,0.5074529387175036,334601,3279713
