start_station_name,station_rides,total_stations,station_percent
,6202,84559,7.3345238236024555
Navy Pier,4362,84559,5.158528364810369
DuSable Lake Shore Dr & Monroe St,3470,84559,4.103643609787249
Michigan Ave & Oak St,2930,84559,3.465036246880876
Millennium Park,2325,84559,2.7495594791802174
Streeter Dr & Grand Ave,1637,84559,1.9359263945883938
Dusable Harbor,1528,84559,1.8070223157795149
DuSable Lake Shore Dr & North Blvd,1304,84559,1.5421185207961305
Michigan Ave & 8th St,1135,84559,1.342258068330988
Montrose Harbor,1058,84559,1.2511973888054493
Theater on the Lake,1048,84559,1.2393713265294055
Michigan Ave & Washington St,982,84559,1.1613193155075154
Shedd Aquarium,914,84559,1.0809020920304167
Columbus Dr & Randolph St,885,84559,1.0466065114298893
Adler Planetarium,830,84559,0.9815631689116475
New St & Illinois St,770,84559,0.9106067952553839
Wabash Ave & Grand Ave,739,84559,0.8739460021996475
Michigan Ave & Lake St,732,84559,0.8656677586064168
Indiana Ave & Roosevelt Rd,727,84559,0.8597547274683948
McClurg Ct & Ohio St,723,84559,0.8550243025579773
Lakefront Trail & Wilson Ave,713,84559,0.8431982402819332
Griffin Museum of Science and Industry,683,84559,0.8077200534538014
Lakefront Trail & Bryn Mawr Ave,677,84559,0.8006244160881751
Michigan Ave & Jackson Blvd,665,84559,0.7864331413569224
Lincoln Park Conservatory,616,84559,0.7284854362043071
Shore Dr & 55th St,613,84559,0.7249376175214939
DuSable Lake Shore Dr & Diversey Pkwy,529,84559,0.6255986944027246
Field Museum,516,84559,0.6102248134438676
Clark St & Armitage Ave,516,84559,0.6102248134438676
Cityfront Plaza Dr & Pioneer Ct,513,84559,0.6066769947610544
Clark St & Lincoln Ave,488,84559,0.5771118390709445
Mies van der Rohe Way & Chestnut St,476,84559,0.5629205643396918
Fairbanks Ct & Grand Ave,472,84559,0.5581901394292743
Michigan Ave & Ida B Wells Dr,428,84559,0.5061554654146809
McClurg Ct & Erie St,425,84559,0.5026076467318676
Field Blvd & South Water St,419,84559,0.49551200936624135
Buckingham Fountain,394,84559,0.4659468536761314
DuSable Lake Shore Dr & Belmont Ave,392,84559,0.4635816412209227
State St & Kinzie St,384,84559,0.45412079140008754
LaSalle St & Illinois St,381,84559,0.4505729727172743
Michigan Ave & Pearson St,377,84559,0.4458425478068568
McCormick Place,376,84559,0.44465994157925237
Burnham Harbor,374,84559,0.44229472912404355
Fort Dearborn Dr & 31st St*,363,84559,0.42928606062039526
St. Clair St & Erie St,353,84559,0.41745999834435127
DuSable Lake Shore Dr & Wellington Ave,344,84559,0.4068165422959118
Cannon Dr & Fullerton Ave,332,84559,0.392625267564659
Stetson Ave & South Water St,323,84559,0.38198181151621946
Mies van der Rohe Way & Chicago Ave,318,84559,0.37606878037819746
Marine Dr & Ainslie St,317,84559,0.3748861741505931
Dearborn St & Erie St,301,84559,0.35596447450892277
Wabash Ave & Wacker Pl,300,84559,0.35478186828131836
Chicago Ave & Sheridan Rd,300,84559,0.35478186828131836
Wabash Ave & Roosevelt Rd,299,84559,0.353599262053714
Pine Grove Ave & Waveland Ave,282,84559,0.3334949561844393
Benson Ave & Church St,281,84559,0.3323123499568349
Clark St & Elm St,276,84559,0.3263993188188129
State St & Chicago Ave,259,84559,0.3062950129495382
Broadway & Granville Ave,256,84559,0.30274719426672503
Lake Park Ave & 53rd St,256,84559,0.30274719426672503
Wabash Ave & 9th St,253,84559,0.29919937558391185
Clark St & North Ave,252,84559,0.29801676935630744
State St & Randolph St,249,84559,0.29446895067349427
Lakeview Ave & Fullerton Pkwy,245,84559,0.2897385257630767
Rush St & Superior St,245,84559,0.2897385257630767
Cornell Ave & Hyde Park Blvd,242,84559,0.2861907070802635
Stockton Dr & Wrightwood Ave,242,84559,0.2861907070802635
Calumet Ave & 18th St,241,84559,0.2850081008526591
Michigan Ave & Madison St,236,84559,0.27909506971463716
Wentworth Ave & Cermak Rd*,234,84559,0.27672985725942834
Broadway & Thorndale Ave,232,84559,0.27436464480421957
Rush St & Cedar St,228,84559,0.269634219893802
Rush St & Hubbard St,219,84559,0.2589907638453624
Lake Park Ave & 35th St,217,84559,0.25662555139015364
Wabash Ave & Adams St,216,84559,0.25544294516254923
Calumet Ave & 21st St,213,84559,0.25189512647973605
Federal St & Polk St,206,84559,0.2436168828865053
Fort Dearborn Dr & 31st St,205,84559,0.24243427665890088
Daley Center Plaza,204,84559,0.2412516704312965
Sheridan Rd & Argyle St,204,84559,0.2412516704312965
Wells St & Concord Ln,200,84559,0.23652124552087894
Wells St & Huron St,200,84559,0.23652124552087894
Michigan Ave & 14th St,198,84559,0.23415603306567012
Ritchie Ct & Banks St,198,84559,0.23415603306567012
Fairbanks St & Superior St,197,84559,0.2329734268380657
Broadway & Cornelia Ave,195,84559,0.23060821438285695
63rd St Beach,194,84559,0.22942560815525254
Lake Park Ave & 56th St,194,84559,0.22942560815525254
Clarendon Ave & Junior Ter,191,84559,0.22587778947243936
Clark St & Lake St,188,84559,0.22232997078962619
Michigan Ave & 18th St,188,84559,0.22232997078962619
Franklin St & Jackson Blvd,188,84559,0.22232997078962619
Dearborn Pkwy & Delaware Pl,186,84559,0.21996475833441742
Wilton Ave & Belmont Ave,185,84559,0.218782152106813
Broadway & Barry Ave,181,84559,0.21405172719639542
Pine Grove Ave & Irving Park Rd,180,84559,0.21286912096879101
University Ave & 57th St,180,84559,0.21286912096879101
Broadway & Belmont Ave,173,84559,0.20459087737556025
State St & Harrison St,168,84559,0.1986778462375383
Broadway & Waveland Ave,167,84559,0.1974952400099339
Larrabee St & Webster Ave,165,84559,0.1951300275547251
Broadway & Ridge Ave,162,84559,0.19158220887191194
State St & Van Buren St,160,84559,0.18921699641670314
Clinton St & Jackson Blvd,160,84559,0.18921699641670314
Wells St & Hubbard St,159,84559,0.18803439018909873
Clarendon Ave & Leland Ave,159,84559,0.18803439018909873
Sheridan Rd & Loyola Ave,154,84559,0.18212135905107676
Woodlawn Ave & 58th St,152,84559,0.17975614659586797
Clark St & Schiller St,152,84559,0.17975614659586797
LaSalle Dr & Huron St,151,84559,0.1785735403682636
Clark St & Drummond Pl,149,84559,0.1762083279130548
