start_station_name,station_rides,total_stations,station_percent
,467986,2310563,20.254197786426946
Navy Pier,45972,2310563,1.9896449480061786
DuSable Lake Shore Dr & Monroe St,36837,2310563,1.5942867604129385
Michigan Ave & Oak St,26375,2310563,1.1414966828430992
DuSable Lake Shore Dr & North Blvd,23298,2310563,1.008325676469328
Millennium Park,20982,2310563,0.9080903658545558
Shedd Aquarium,19247,2310563,0.8330004418836449
Theater on the Lake,18833,2310563,0.815082730918828
Dusable Harbor,17412,2310563,0.753582568404324
Streeter Dr & Grand Ave,14926,2310563,0.645989743625255
Montrose Harbor,12499,2310563,0.5409504090561478
Michigan Ave & 8th St,12338,2310563,0.533982410347608
Adler Planetarium,11750,2310563,0.508534067238158
Field Museum,11377,2310563,0.4923908155717892
Clark St & Lincoln Ave,11111,2310563,0.480878469879419
Clark St & Armitage Ave,10978,2310563,0.4751222970332339
Wells St & Concord Ln,10522,2310563,0.455386847274885
Wabash Ave & Grand Ave,10249,2310563,0.44357154511692604
Michigan Ave & Washington St,10167,2310563,0.44002262652002994
Indiana Ave & Roosevelt Rd,10158,2310563,0.4396331110642731
New St & Illinois St,10123,2310563,0.43811832873632967
Michigan Ave & Lake St,9861,2310563,0.42677910102429584
Clark St & Elm St,9818,2310563,0.4249180827356796
DuSable Lake Shore Dr & Diversey Pkwy,9211,2310563,0.39864742921963175
Wells St & Elm St,9165,2310563,0.3966565724457632
LaSalle St & Illinois St,8940,2310563,0.38691868605184104
Columbus Dr & Randolph St,8857,2310563,0.38332648795986085
McClurg Ct & Ohio St,8805,2310563,0.38107595421548773
Wells St & Huron St,8568,2310563,0.37081871388055637
Wells St & Hubbard St,8462,2310563,0.36623108740164195
State St & Chicago Ave,8349,2310563,0.3613405044571388
DuSable Lake Shore Dr & Belmont Ave,8317,2310563,0.35995556061444767
Lincoln Park Conservatory,7916,2310563,0.34260048308572416
Dearborn St & Erie St,7869,2310563,0.3405663468167715
Wilton Ave & Belmont Ave,7670,2310563,0.3319537272950359
Dearborn Pkwy & Delaware Pl,7620,2310563,0.3297897525408309
Canal St & Madison St,7555,2310563,0.32697658536036456
Clinton St & Madison St,7367,2310563,0.31884004028455404
DuSable Lake Shore Dr & Wellington Ave,7263,2310563,0.3143389727958078
Michigan Ave & Jackson Blvd,7240,2310563,0.31334354440887346
Desplaines St & Kinzie St,6956,2310563,0.3010521678049895
Broadway & Cornelia Ave,6800,2310563,0.29430056657187015
Fairbanks Ct & Grand Ave,6737,2310563,0.29157395838157196
Kingsbury St & Kinzie St,6726,2310563,0.2910978839356469
Wabash Ave & Roosevelt Rd,6695,2310563,0.2897562195880398
Clark St & Newport St,6675,2310563,0.2888906296863578
Broadway & Barry Ave,6529,2310563,0.28257182340407944
