start_station_name,station_rides,total_stations,station_percent
,832588,4112301,20.246280610295795
Canal St & Madison St,24596,4112301,0.5981079692366876
State St & Chicago Ave,22778,4112301,0.5538991430831547
Clinton St & Madison St,21842,4112301,0.5311381632813357
Clinton St & Washington Blvd,21629,4112301,0.5259585813392551
Wells St & Elm St,21389,4112301,0.520122432672122
Wells St & Concord Ln,21193,4112301,0.5153562445939633
Clinton St & Jackson Blvd,20743,4112301,0.5044134658430889
Clark St & Elm St,20463,4112301,0.4976046257314336
Kingsbury St & Kinzie St,20155,4112301,0.49011490160861276
Wells St & Huron St,19896,4112301,0.4838167245053317
Wells St & Hubbard St,17611,4112301,0.42825172573700226
DuSable Lake Shore Dr & North Blvd,17422,4112301,0.42365575866163496
Desplaines St & Kinzie St,17368,4112301,0.42234262521153
Kingsbury St & Erie St,17199,4112301,0.41823300385842377
Canal St & Adams St,16908,4112301,0.41115667359952496
Clark St & Armitage Ave,16766,4112301,0.40770361897147117
University Ave & 57th St,16643,4112301,0.4047125927795655
Clark St & Lincoln Ave,16362,4112301,0.3978794353817972
Daley Center Plaza,16360,4112301,0.39783080080957106
Dearborn Pkwy & Delaware Pl,16185,4112301,0.39357527573978657
McClurg Ct & Ohio St,16011,4112301,0.38934406795611504
Orleans St & Merchandise Mart Plaza,15588,4112301,0.37905785593029306
Clinton St & Lake St,15500,4112301,0.37691793475234425
Ravenswood Ave & Lawrence Ave,15457,4112301,0.3758722914494829
Michigan Ave & Oak St,15258,4112301,0.37103315151298505
Columbus Dr & Randolph St,15176,4112301,0.3690391340517146
Broadway & Waveland Ave,15038,4112301,0.3656833485681131
Wilton Ave & Belmont Ave,15023,4112301,0.36531858927641725
Broadway & Cornelia Ave,14740,4112301,0.35843679730642286
Wabash Ave & Grand Ave,14675,4112301,0.3568561737090743
Clark St & Lake St,14410,4112301,0.3504120928891149
Dearborn St & Erie St,14385,4112301,0.3498041607362885
LaSalle St & Illinois St,14179,4112301,0.3447947997969993
Franklin St & Monroe St,13998,4112301,0.3403933710105364
New St & Illinois St,13938,4112301,0.3389343338437532
Ellis Ave & 55th St,13901,4112301,0.33803459425757015
Navy Pier,13874,4112301,0.3373780275325177
Green St & Madison St,13873,4112301,0.3373537102464046
Halsted St & Clybourn Ave,13844,4112301,0.33664850894912607
Theater on the Lake,13717,4112301,0.3335602136127681
Wabash Ave & Roosevelt Rd,13412,4112301,0.32614344134828654
Michigan Ave & Washington St,13287,4112301,0.32310378058415473
Pine Grove Ave & Waveland Ave,13200,4112301,0.320988176692319
Southport Ave & Waveland Ave,13118,4112301,0.3189941592310485
Federal St & Polk St,13023,4112301,0.3166840170503083
Broadway & Barry Ave,12959,4112301,0.3151277107390728
