start_station_name,station_rides,total_stations,station_percent
,461013,2203299,20.923760234085343
Navy Pier,40895,2203299,1.8560803594972812
DuSable Lake Shore Dr & Monroe St,32750,2203299,1.4864074281339028
Michigan Ave & Oak St,22855,2203299,1.0373081456488658
DuSable Lake Shore Dr & North Blvd,21702,2203299,0.9849775268812813
Millennium Park,18205,2203299,0.8262609840970291
Shedd Aquarium,18141,2203299,0.8233562489702941
Theater on the Lake,17529,2203299,0.7955797193208911
Dusable Harbor,15545,2203299,0.7055329303921075
Streeter Dr & Grand Ave,12967,2203299,0.5885265685683151
Montrose Harbor,11237,2203299,0.5100079471737607
Michigan Ave & 8th St,10933,2203299,0.49621045532176977
Field Museum,10773,2203299,0.4889486175049324
Adler Planetarium,10745,2203299,0.48767779588698584
Clark St & Lincoln Ave,10466,2203299,0.4750149661938757
Clark St & Armitage Ave,10339,2203299,0.46925088242676094
Wells St & Concord Ln,10247,2203299,0.46507532568207943
Clark St & Elm St,9469,2203299,0.4297646392977077
Wabash Ave & Grand Ave,9256,2203299,0.42009731770404285
Indiana Ave & Roosevelt Rd,9231,2203299,0.41896265554516204
New St & Illinois St,9130,2203299,0.41437862042328344
Wells St & Elm St,8984,2203299,0.4077521934154193
Michigan Ave & Washington St,8923,2203299,0.4049836177477501
Michigan Ave & Lake St,8884,2203299,0.40321354477989596
DuSable Lake Shore Dr & Diversey Pkwy,8558,2203299,0.3884175502280898
LaSalle St & Illinois St,8436,2203299,0.3828803988927513
Wells St & Huron St,8314,2203299,0.3773432475574128
Wells St & Hubbard St,8241,2203299,0.37403003405348073
State St & Chicago Ave,8003,2203299,0.3632280503009351
McClurg Ct & Ohio St,7881,2203299,0.3576908989655966
DuSable Lake Shore Dr & Belmont Ave,7816,2203299,0.3547407773525064
Columbus Dr & Randolph St,7783,2203299,0.35324302330278373
Dearborn St & Erie St,7472,2203299,0.33912782604630604
Wilton Ave & Belmont Ave,7448,2203299,0.3380385503737804
Canal St & Madison St,7384,2203299,0.33513381524704544
Dearborn Pkwy & Delaware Pl,7383,2203299,0.3350884287606902
Clinton St & Madison St,7188,2203299,0.32623806392141963
Lincoln Park Conservatory,7167,2203299,0.32528494770795974
DuSable Lake Shore Dr & Wellington Ave,6840,2203299,0.31044356666979833
Desplaines St & Kinzie St,6816,2203299,0.30935429099727274
Kingsbury St & Kinzie St,6608,2203299,0.29991390183538413
Broadway & Cornelia Ave,6555,2203299,0.29750841805855677
Clark St & Newport St,6544,2203299,0.2970091667086492
Michigan Ave & Jackson Blvd,6407,2203299,0.29079121807798214
Broadway & Barry Ave,6304,2203299,0.2861164099833931
Larrabee St & Webster Ave,6249,2203299,0.2836201532338552
Wabash Ave & Roosevelt Rd,6211,2203299,0.2818954667523564
Daley Center Plaza,6182,2203299,0.28057925864805455
Fairbanks Ct & Grand Ave,6138,2203299,0.2785822532484243
Wells St & Evergreen Ave,6138,2203299,0.2785822532484243
Orleans St & Merchandise Mart Plaza,6109,2203299,0.2772660451441225
Sheffield Ave & Waveland Ave,6041,2203299,0.27417976407196665
Halsted St & Clybourn Ave,5979,2203299,0.27136580191794213
Broadway & Waveland Ave,5953,2203299,0.27018575327270605
Clark St & Lake St,5913,2203299,0.26837029381849675
Clark St & Wrightwood Ave,5832,2203299,0.26469398842372277
Pine Grove Ave & Waveland Ave,5811,2203299,0.2637408722102629
Sheffield Ave & Fullerton Ave,5766,2203299,0.26169848032427734
Lakeview Ave & Fullerton Pkwy,5744,2203299,0.26069997762446223
Field Blvd & South Water St,5720,2203299,0.2596107019519366
Southport Ave & Waveland Ave,5648,2203299,0.2563428749343598
Clinton St & Jackson Blvd,5620,2203299,0.25507205331641325
Lakefront Trail & Bryn Mawr Ave,5614,2203299,0.25479973439828185
Sheffield Ave & Wrightwood Ave,5574,2203299,0.2529842749440725
Halsted St & Roscoe St,5550,2203299,0.2518949992715469
Southport Ave & Roscoe St,5514,2203299,0.2502610857627585
Mies van der Rohe Way & Chestnut St,5511,2203299,0.25012492630369276
Clark St & Schiller St,5402,2203299,0.24517779929097233
Halsted St & Wrightwood Ave,5346,2203299,0.2426361560550792
Franklin St & Jackson Blvd,5318,2203299,0.2413653344371327
Green St & Madison St,5268,2203299,0.23909601011937098
University Ave & 57th St,5259,2203299,0.2386875317421739
McCormick Place,5146,2203299,0.2335588587840325
Kingsbury St & Erie St,5137,2203299,0.2331503804068354
Cityfront Plaza Dr & Pioneer Ct,5133,2203299,0.23296883446141445
Lincoln Ave & Fullerton Ave,5131,2203299,0.23287806148870396
State St & Randolph St,5120,2203299,0.2323788101387964
Milwaukee Ave & Grand Ave,5097,2203299,0.23133492095262603
Federal St & Polk St,5083,2203299,0.23069951014365275
Sheridan Rd & Irving Park Rd,5014,2203299,0.22756784258514162
Damen Ave & Pierce Ave,5004,2203299,0.22711397772158928
Clark St & Winnemac Ave,4987,2203299,0.22634240745355033
Buckingham Fountain,4937,2203299,0.22407308313578864
Ravenswood Ave & Lawrence Ave,4908,2203299,0.2227568750314869
Wabash Ave & 9th St,4894,2203299,0.22212146422251358
State St & Kinzie St,4853,2203299,0.220260618281949
Clark St & Wellington Ave,4830,2203299,0.21921672909577866
Clark St & Grace St,4804,2203299,0.21803668045054259
Southport Ave & Wellington Ave,4782,2203299,0.21703817775072742
Burnham Harbor,4770,2203299,0.21649353991446463
Canal St & Adams St,4757,2203299,0.21590351559184656
Franklin St & Illinois St,4750,2203299,0.21558581018735995
Wells St & Walton St,4741,2203299,0.21517733181016285
Sheffield Ave & Wellington Ave,4719,2203299,0.21417882911034772
Rush St & Cedar St,4701,2203299,0.2133618723559535
Broadway & Belmont Ave,4597,2203299,0.2086416777750092
Pine Grove Ave & Irving Park Rd,4595,2203299,0.2085509048022987
Clinton St & Lake St,4593,2203299,0.20846013182958828
Rush St & Superior St,4592,2203299,0.20841474534323304
Stockton Dr & Wrightwood Ave,4572,2203299,0.20750701561612836
Clark St & North Ave,4549,2203299,0.206463126429958
Sedgwick St & North Ave,4541,2203299,0.20610003453911613
Clark St & Drummond Pl,4467,2203299,0.2027414345488288
Michigan Ave & Ida B Wells Dr,4450,2203299,0.20196986428078983
Ellis Ave & 55th St,4441,2203299,0.20156138590359274
