start_station_name,station_rides,total_stations,station_percent
,3995,19811,20.16556458533138
Navy Pier,235,19811,1.1862096814900813
DuSable Lake Shore Dr & Monroe St,219,19811,1.10544646913331
Sheridan Rd & Argyle St,185,19811,0.9338246428751704
Michigan Ave & Oak St,164,19811,0.8278229266569077
DuSable Lake Shore Dr & North Blvd,162,19811,0.8177275251123113
Theater on the Lake,135,19811,0.6814396042602594
Dusable Harbor,130,19811,0.6562011003987683
DuSable Lake Shore Dr & Belmont Ave,129,19811,0.6511533996264701
Lakefront Trail & Bryn Mawr Ave,127,19811,0.6410579980818737
New St & Illinois St,126,19811,0.6360102973095755
Marine Dr & Ainslie St,125,19811,0.6309625965372773
Shore Dr & 55th St,113,19811,0.5703901872696987
Columbus Dr & Randolph St,108,19811,0.5451516834082076
State St & Chicago Ave,108,19811,0.5451516834082076
Indiana Ave & Roosevelt Rd,105,19811,0.5300085810913129
DuSable Lake Shore Dr & Wellington Ave,104,19811,0.5249608803190147
Montrose Harbor,102,19811,0.5148654787744182
Millennium Park,101,19811,0.50981777800212
McClurg Ct & Ohio St,101,19811,0.50981777800212
Cornell Ave & Hyde Park Blvd,88,19811,0.44419766796224325
Wabash Ave & Grand Ave,88,19811,0.44419766796224325
DuSable Lake Shore Dr & Diversey Pkwy,86,19811,0.4341022664176467
Clarendon Ave & Gordon Ter,80,19811,0.4038160617838574
Field Blvd & South Water St,79,19811,0.3987683610115592
Burnham Harbor,79,19811,0.3987683610115592
Wells St & Concord Ln,77,19811,0.3886729594669628
Broadway & Granville Ave,76,19811,0.3836252586946646
LaSalle St & Illinois St,76,19811,0.3836252586946646
Michigan Ave & Washington St,73,19811,0.36848215637776993
Lakefront Trail & Wilson Ave,72,19811,0.36343445560547166
University Ave & 57th St,70,19811,0.35333905406087524
Michigan Ave & Lake St,68,19811,0.3432436525162788
Clark St & Elm St,68,19811,0.3432436525162788
Michigan Ave & 8th St,67,19811,0.3381959517439806
Wilton Ave & Belmont Ave,66,19811,0.3331482509716824
Broadway & Thorndale Ave,65,19811,0.32810055019938417
Broadway & Cornelia Ave,65,19811,0.32810055019938417
Ravenswood Ave & Lawrence Ave,64,19811,0.32305284942708595
Pine Grove Ave & Waveland Ave,64,19811,0.32305284942708595
Wells St & Polk St,63,19811,0.31800514865478774
Daley Center Plaza,63,19811,0.31800514865478774
Pine Grove Ave & Irving Park Rd,62,19811,0.3129574478824895
Griffin Museum of Science and Industry,60,19811,0.3028620463378931
Clark St & Berwyn Ave,59,19811,0.2978143455655949
Federal St & Polk St,58,19811,0.29276664479329667
Orleans St & Merchandise Mart Plaza,58,19811,0.29276664479329667
Clark St & Lincoln Ave,58,19811,0.29276664479329667
Clark St & Armitage Ave,57,19811,0.28771894402099846
Delano Ct & Roosevelt Rd,57,19811,0.28771894402099846
Mies van der Rohe Way & Chestnut St,57,19811,0.28771894402099846
Fairbanks Ct & Grand Ave,56,19811,0.28267124324870024
Wells St & Elm St,56,19811,0.28267124324870024
Calumet Ave & 18th St,56,19811,0.28267124324870024
Wabash Ave & Roosevelt Rd,56,19811,0.28267124324870024
Clark St & Drummond Pl,56,19811,0.28267124324870024
