start_station_name,station_rides,total_stations,station_percent
Navy Pier,4362,78357,5.566828745357785
DuSable Lake Shore Dr & Monroe St,3470,78357,4.428449277026941
Michigan Ave & Oak St,2930,78357,3.739295787230241
Millennium Park,2325,78357,2.9671886366246794
Streeter Dr & Grand Ave,1637,78357,2.089156042217032
Dusable Harbor,1528,78357,1.9500491340914021
DuSable Lake Shore Dr & North Blvd,1304,78357,1.6641780568424007
Michigan Ave & 8th St,1135,78357,1.4484985387393596
Montrose Harbor,1058,78357,1.3502303559350153
Theater on the Lake,1048,78357,1.3374682542721137
