start_station_name,station_rides,total_stations,station_percent
Navy Pier,235,15816,1.4858371269600406
DuSable Lake Shore Dr & Monroe St,219,15816,1.3846737481031868
Sheridan Rd & Argyle St,185,15816,1.1697015680323724
Michigan Ave & Oak St,164,15816,1.0369246332827515
DuSable Lake Shore Dr & North Blvd,162,15816,1.024279210925645
Theater on the Lake,135,15816,0.853566009104704
Dusable Harbor,130,15816,0.8219524532119373
DuSable Lake Shore Dr & Belmont Ave,129,15816,0.8156297420333839
Lakefront Trail & Bryn Mawr Ave,127,15816,0.8029843196762771
New St & Illinois St,126,15816,0.7966616084977238
