start_station_name,station_rides,total_stations,station_percent
Navy Pier,45972,1842577,2.494983927401677
DuSable Lake Shore Dr & Monroe St,36837,1842577,1.9992108877946484
Michigan Ave & Oak St,26375,1842577,1.4314191482906822
DuSable Lake Shore Dr & North Blvd,23298,1842577,1.2644247703081064
Millennium Park,20982,1842577,1.1387312443387712
Shedd Aquarium,19247,1842577,1.0445696434938676
Theater on the Lake,18833,1842577,1.0221011116496082
Dusable Harbor,17412,1842577,0.9449808610440704
Streeter Dr & Grand Ave,14926,1842577,0.8100611263464159
Montrose Harbor,12499,1842577,0.6783434287956487
