start_station_name,station_rides,total_stations,station_percent
Canal St & Madison St,24596,3279713,0.7499436688515123
State St & Chicago Ave,22778,3279713,0.6945119893112598
Clinton St & Madison St,21842,3279713,0.6659729067756843
Clinton St & Washington Blvd,21629,3279713,0.6594784360704733
Wells St & Elm St,21389,3279713,0.6521607225998128
Wells St & Concord Ln,21193,3279713,0.6461845899321069
Clinton St & Jackson Blvd,20743,3279713,0.6324638771746186
Clark St & Elm St,20463,3279713,0.6239265447921815
Kingsbury St & Kinzie St,20155,3279713,0.6145354791715006
Wells St & Huron St,19896,3279713,0.6066384467177464
