start_station_name,station_rides,total_stations,station_percent
Navy Pier,40895,1742286,2.347203616398226
DuSable Lake Shore Dr & Monroe St,32750,1742286,1.8797143522934812
Michigan Ave & Oak St,22855,1742286,1.311782336539466
DuSable Lake Shore Dr & North Blvd,21702,1742286,1.2456049121671184
Millennium Park,18205,1742286,1.0448915964428342
Shedd Aquarium,18141,1742286,1.0412182615253753
Theater on the Lake,17529,1742286,1.0060919963771735
Dusable Harbor,15545,1742286,0.8922186139359439
Streeter Dr & Grand Ave,12967,1742286,0.744252091792048
Montrose Harbor,11237,1742286,0.6449572573044838
