start_station_name,station_rides,total_stations,station_percent
Canal St & Madison St,24484,3257204,0.7516876437582664
State St & Chicago Ave,22584,3257204,0.6933554054336173
Clinton St & Madison St,21759,3257204,0.6680269335294934
Clinton St & Washington Blvd,21569,3257204,0.6621937096970285
Wells St & Elm St,21279,3257204,0.6532903680580031
Wells St & Concord Ln,21087,3257204,0.6473957418694071
Clinton St & Jackson Blvd,20678,3257204,0.6348389600405747
Clark St & Elm St,20347,3257204,0.6246768701008595
Kingsbury St & Kinzie St,20083,3257204,0.6165717590915398
Wells St & Huron St,19808,3257204,0.6081289351234985
