day_of_the_week_started_on,ride_hour,member_rides,casual_rides,total_hourly_rides,member_percent,casual_percent
Monday,0,2996,4378,7374,40.62923786276105,59.370762137238955
Tuesday,0,2790,3475,6265,44.53312051077415,55.46687948922586
Wednesday,0,3065,3179,6244,49.08712363869315,50.91287636130686
Thursday,0,3468,3547,7015,49.436920883820385,50.56307911617961
Friday,0,5264,5990,11254,46.774480184823176,53.225519815176824
Saturday,0,10245,12716,22961,44.61913679717782,55.38086320282217
Sunday,0,9805,13288,23093,42.45875373489802,57.541246265101975
Monday,1,1771,2591,4362,40.600641907381934,59.39935809261806
Tuesday,1,1441,1813,3254,44.2839582052858,55.7160417947142
Wednesday,1,1501,1692,3193,47.0090823676793,52.9909176323207
Thursday,1,1811,2060,3871,46.783776801859986,53.216223198140014
Friday,1,2916,3707,6623,44.028385927827266,55.97161407217273
Saturday,1,6789,9029,15818,42.91945884435454,57.08054115564547
Sunday,1,6638,8967,15605,42.53764818968279,57.4623518103172
Monday,2,1067,1749,2816,37.890625,62.109375
Tuesday,2,806,1201,2007,40.15944195316393,59.84055804683608
Wednesday,2,818,1088,1906,42.91710388247639,57.08289611752361
Thursday,2,955,1228,2183,43.74713696747595,56.25286303252405
Friday,2,1517,2158,3675,41.27891156462585,58.72108843537415
Saturday,2,4119,5804,9923,41.50962410561323,58.49037589438678
Sunday,2,4297,6144,10441,41.15506177569198,58.84493822430802
Monday,3,836,1025,1861,44.92208490059108,55.077915099408926
Tuesday,3,731,659,1390,52.58992805755396,47.41007194244604
Wednesday,3,687,676,1363,50.4035216434336,49.5964783565664
Thursday,3,733,773,1506,48.67197875166003,51.32802124833997
Friday,3,1088,1166,2254,48.26974267968057,51.73025732031943
Saturday,3,2185,3051,5236,41.73032849503438,58.26967150496563
Sunday,3,2580,3499,6079,42.441190985359434,57.558809014640566
Monday,4,1427,978,2405,59.33471933471933,40.66528066528067
Tuesday,4,1445,807,2252,64.1651865008881,35.8348134991119
Wednesday,4,1259,852,2111,59.639981051634294,40.360018948365706
Thursday,4,1387,897,2284,60.72679509632224,39.27320490367776
Friday,4,1487,1192,2679,55.50578574094811,44.49421425905189
Saturday,4,1302,1703,3005,43.32778702163061,56.67221297836939
Sunday,4,1819,2288,4107,44.290236182128076,55.709763817871924
Monday,5,6599,1894,8493,77.6992817614506,22.300718238549393
Tuesday,5,7893,2017,9910,79.6468213925328,20.353178607467203
Wednesday,5,7715,2130,9845,78.36465210766886,21.635347892331133
Thursday,5,6597,1968,8565,77.02276707530648,22.97723292469352
Friday,5,6449,2311,8760,73.61872146118722,26.381278538812786
Saturday,5,2450,1532,3982,61.526870919136115,38.473129080863885
Sunday,5,2345,2112,4457,52.61386582903298,47.38613417096702
Monday,6,19825,4439,24264,81.70540718760303,18.294592812396967
Tuesday,6,24116,5166,29282,82.35776244792022,17.642237552079777
Wednesday,6,23067,5026,28093,82.10942227601183,17.890577723988184
Thursday,6,21767,4882,26649,81.68036324064693,18.319636759353074
Friday,6,17431,4850,22281,78.2325748395494,21.767425160450607
Saturday,6,5865,2942,8807,66.59475417281708,33.405245827182924
Sunday,6,4989,3366,8355,59.712746858168764,40.287253141831236
Monday,7,38772,7881,46653,83.10719567873448,16.892804321265515
Tuesday,7,49058,9592,58650,83.64535379369138,16.354646206308608
Wednesday,7,48258,9745,58003,83.19914487181698,16.800855128183027
Thursday,7,45438,9950,55388,82.03582003322019,17.96417996677981
Friday,7,31417,8453,39870,78.79859543516429,21.201404564835716
Saturday,7,10553,5357,15910,66.32935260842238,33.670647391577624
Sunday,7,7864,5271,13135,59.87057480015226,40.12942519984774
Monday,8,47984,10636,58620,81.856021835551,18.143978164448992
Tuesday,8,61858,13391,75249,82.204414676607,17.795585323393002
Wednesday,8,58873,13373,72246,81.48963264402181,18.510367355978186
Thursday,8,58573,13475,72048,81.2971907617144,18.702809238285585
Friday,8,38676,10798,49474,78.17439463152363,21.82560536847637
Saturday,8,19033,10470,29503,64.51208351693049,35.48791648306952
Sunday,8,13749,8847,22596,60.84705257567711,39.15294742432289
Monday,9,26097,9050,35147,74.25100293054884,25.748997069451164
Tuesday,9,29586,9400,38986,75.88878058790336,24.11121941209665
Wednesday,9,28979,8529,37508,77.2608510184494,22.739148981550603
Thursday,9,30736,10098,40834,75.27060782681099,24.72939217318901
Friday,9,26250,10580,36830,71.27341840890578,28.72658159109422
Saturday,9,26590,17395,43985,60.452426963737636,39.547573036262364
Sunday,9,21532,14910,36442,59.08567038033039,40.91432961966961
Monday,10,18666,10047,28713,65.0088809946714,34.9911190053286
Tuesday,10,19648,8616,28264,69.51599207472402,30.484007925275968
Wednesday,10,19536,7872,27408,71.2784588441331,28.7215411558669
Thursday,10,21512,9620,31132,69.09931902865219,30.90068097134781
Friday,10,21568,12326,33894,63.63368147754764,36.36631852245235
Saturday,10,33611,26303,59914,56.098741529525654,43.901258470474346
Sunday,10,28633,21996,50629,56.55454383851153,43.44545616148848
Monday,11,22216,13118,35334,62.87428539084168,37.125714609158315
Tuesday,11,22777,10691,33468,68.05605354368352,31.94394645631648
Wednesday,11,22335,9876,32211,69.33966657353078,30.660333426469215
Thursday,11,24977,12343,37320,66.92658092175778,33.073419078242225
Friday,11,26953,16897,43850,61.46636259977195,38.53363740022805
Saturday,11,38175,33444,71619,53.302894483307504,46.6971055166925
Sunday,11,33319,27479,60798,54.80278956544623,45.19721043455377
Monday,12,26119,15935,42054,62.108241784372474,37.891758215627526
Tuesday,12,27226,12988,40214,67.70279007310887,32.297209926891135
Wednesday,12,26283,11638,37921,69.30988106853722,30.690118931462777
Thursday,12,29358,15073,44431,66.0754878350701,33.924512164929894
Friday,12,32621,21179,53800,60.633828996282524,39.36617100371747
Saturday,12,39718,38566,78284,50.73578253538399,49.26421746461601
Sunday,12,35492,31428,66920,53.03646144650329,46.96353855349671
Monday,13,25892,17067,42959,60.271421588025795,39.728578411974205
Tuesday,13,26229,13556,39785,65.92685685559884,34.07314314440116
Wednesday,13,24778,11577,36355,68.15568697565672,31.84431302434328
Thursday,13,27722,15591,43313,64.00387874310253,35.99612125689747
Friday,13,33371,22580,55951,59.64325928044182,40.35674071955819
Saturday,13,39485,39211,78696,50.17408762834198,49.82591237165803
Sunday,13,35311,32249,67560,52.26613380698638,47.73386619301362
Monday,14,27204,17909,45113,60.301908540775386,39.698091459224614
Tuesday,14,26442,14309,40751,64.88675124536822,35.11324875463179
Wednesday,14,25001,12443,37444,66.76904176904176,33.23095823095823
Thursday,14,28131,16594,44725,62.89770821688094,37.102291783119064
Friday,14,33285,23195,56480,58.93236543909348,41.06763456090651
Saturday,14,39661,40662,80323,49.37689080338134,50.62310919661866
Sunday,14,35970,33602,69572,51.70183407117806,48.29816592882194
Monday,15,37237,20297,57534,64.72172975979421,35.27827024020579
Tuesday,15,38764,17125,55889,69.35890783517328,30.64109216482671
Wednesday,15,37379,15523,52902,70.65706400514158,29.342935994858415
Thursday,15,40039,19476,59515,67.27547677056205,32.724523229437956
Friday,15,42673,27290,69963,60.99366808170033,39.00633191829967
Saturday,15,39810,42084,81894,48.61161989889369,51.388380101106314
Sunday,15,36614,34462,71076,51.5138724745343,48.4861275254657
Monday,16,59876,25060,84936,70.49543185457286,29.504568145427147
Tuesday,16,67472,23778,91250,73.94191780821919,26.058082191780823
Wednesday,16,63416,21905,85321,74.32636748280025,25.673632517199753
Thursday,16,63925,26060,89985,71.03961771406345,28.960382285936543
Friday,16,57215,33039,90254,63.393312207769185,36.606687792230815
Saturday,16,39827,40708,80535,49.45303284286335,50.54696715713665
Sunday,16,36484,32596,69080,52.81412854661263,47.18587145338738
Monday,17,74148,29392,103540,71.61290322580646,28.387096774193548
Tuesday,17,83315,30411,113726,73.25941297504528,26.740587024954714
Wednesday,17,78125,29331,107456,72.70417659321025,27.295823406789754
Thursday,17,77103,32795,109898,70.1586926058709,29.841307394129103
Friday,17,60996,35638,96634,63.12064076825962,36.87935923174038
Saturday,17,37085,36100,73185,50.672952107672344,49.32704789232766
Sunday,17,33121,27463,60584,54.669549716096654,45.33045028390334
Monday,18,54020,24259,78279,69.00956833889038,30.990431661109618
Tuesday,18,60984,26765,87749,69.49822790003304,30.50177209996695
Wednesday,18,58267,25467,83734,69.58583132299903,30.41416867700098
Thursday,18,57417,28325,85742,66.9648480324695,33.035151967530496
Friday,18,49991,31385,81376,61.43211757766418,38.56788242233583
Saturday,18,34236,30756,64992,52.677252584933534,47.322747415066466
Sunday,18,30375,23143,53518,56.756605254306955,43.24339474569304
Monday,19,36342,18218,54560,66.60923753665689,33.39076246334311
Tuesday,19,41318,20023,61341,67.35788461224955,32.642115387750444
Wednesday,19,38995,19203,58198,67.00402075672703,32.99597924327296
Thursday,19,39052,20931,59983,65.1051131153827,34.89488688461731
Friday,19,35732,23997,59729,59.823536305647174,40.176463694352826
Saturday,19,26487,24121,50608,52.33757508694278,47.66242491305722
Sunday,19,22382,17141,39523,56.630316524555326,43.369683475444674
Monday,20,25029,13206,38235,65.4609650843468,34.5390349156532
Tuesday,20,28875,14808,43683,66.10122931117368,33.89877068882632
Wednesday,20,27329,14186,41515,65.82921835481152,34.170781645188484
Thursday,20,27197,14863,42060,64.66238706609604,35.33761293390395
Friday,20,24449,17139,41588,58.78859286332596,41.21140713667404
Saturday,20,19109,17894,37003,51.64175877631544,48.358241223684566
Sunday,20,16541,12594,29135,56.77363995194783,43.22636004805217
Monday,21,18041,10081,28122,64.15262072398833,35.847379276011665
Tuesday,21,22156,13034,35190,62.96106848536516,37.03893151463484
Wednesday,21,21420,12110,33530,63.88308977035491,36.11691022964509
Thursday,21,20404,12161,32565,62.65622600951942,37.34377399048058
Friday,21,18660,14232,32892,56.731120029186435,43.26887997081357
Saturday,21,16984,16484,33468,50.74698219194455,49.25301780805545
Sunday,21,12875,9628,22503,57.21459360974093,42.78540639025908
Monday,22,10897,7878,18775,58.03994673768309,41.96005326231691
Tuesday,22,13130,8380,21510,61.04137610413761,38.95862389586239
Wednesday,22,13732,8873,22605,60.747622207476226,39.25237779252378
Thursday,22,15411,10482,25893,59.51801645232302,40.48198354767698
Friday,22,16438,14185,30623,53.678607582535996,46.321392417464
Saturday,22,16014,17140,33154,48.30186402847318,51.69813597152682
Sunday,22,9374,8080,17454,53.70688667354189,46.29311332645812
Monday,23,5356,4652,10008,53.5171862509992,46.4828137490008
Tuesday,23,6339,4464,10803,58.6781449597334,41.32185504026659
Wednesday,23,6788,5124,11912,56.98455339153794,43.01544660846206
Thursday,23,9579,7662,17241,55.55942230729076,44.44057769270924
Friday,23,12982,13093,26075,49.787152444870564,50.212847555129436
Saturday,23,12321,13381,25702,47.93790366508443,52.06209633491557
Sunday,23,5395,5296,10691,50.46300626695351,49.53699373304649
